onset	duration	response_time	answer	type
38222	3000	1757	1	 BELT.bmp
45226	3000	1211	1	 FRYINGPA.bmp
52231	4000	1002	1	 CORN.bmp
60237	3000	1303	0	 ENVELOPE.bmp
67225	3000	1180	1	 GLOVE.bmp
74230	4000	1935	0	 BRAIN.bmp
82235	4000	1314	1	 CATERPIL.bmp
90224	4000	1595	1	 ALLIGATO.bmp
98230	3000	1424	1	 DOORKNOB.bmp
105234	4000	1249	1	 ELEPHANT.bmp
113223	3000	1160	1	 frenchcr.bmp
120228	3000	1637	1	 AXE.bmp
127233	3000	2228	1	 BEAR.bmp
134222	3000	1266	1	 FLOWER.bmp
141226	4000	1658	1	 BICYCLE.bmp
149231	3000	1752	0	 FUNNEL.bmp
156236	4000	1896	1	 BROOM.bmp
164225	4000	1642	1	 CLOWN.bmp
172230	3000	1064	1	 BOOT.bmp
179235	4000	1975	1	 GARBAGEC.bmp
187224	3000	2123	1	 CROWN.bmp
194229	4000	992	1	 APPLE.bmp
202234	4000	1176	1	 CRAB.bmp
210223	3000	1550	1	 DEER.bmp
217228	3000	1491	1	 HAMMOCK.bmp
224233	4000	1077	1	 BOX.bmp
232222	3000	1381	1	 DOGHOUSE.bmp
239227	4000	1117	1	 CAR.bmp
247232	4000	829	1	 DRESS.bmp
255222	3000	1943	0	 CAP.bmp
262226	4000	1774	1	 EAGLE.bmp
270231	3000	1597	1	 EAR.bmp
277236	4000	1073	1	 DONKEY.bmp
285225	3000	2348	0	 COMPASS.bmp
292230	3000	1445	1	 COAT.bmp
299235	3000	1048	1	 FISH.bmp
306223	4000	2089	1	 DUSTPAN.bmp
314228	3000	1670	0	 FORK.bmp
321233	4000	2085	1	 FLAG.bmp
329222	4000	1020	1	 BENCH.bmp
337227	4000	1713	1	 BUTTERFL.bmp
345233	3000	1694	1	 SCORPION.bmp
352222	3000	1660	1	 FAN.bmp
359226	3000	1014	1	 CANNON.bmp
366231	3000	1234	1	 BEE.bmp
373236	4000	1824	0	 ACCORDIO.bmp
381224	3000	1639	0	 DOLPHIN.bmp
388229	3000	1315	1	 CLOUD.bmp
395234	4000	1341	1	 RAY.bmp
403223	4000	1288	1	 FEATHER.bmp
411228	4000	2290	0	 DRESSER.bmp
419234	3000	1273	1	 ANCHOR.bmp
426222	4000	1019	1	 ACORN.bmp
434227	3000	1281	1	 FAUCET.bmp
441232	3000	1476	1	 GUITAR.bmp
448222	4000	1843	0	 CHIMNEY.bmp
456226	4000	1146	1	 CHEESE.bmp
464231	3000	1970	1	 ARTICHOK.bmp
471236	4000	2084	0	 ASHTRAY.bmp
479225	4000	1315	1	 EYE.bmp
487231	4000	1177	1	 AIRPLANE.bmp
495236	4000	2337	0	 DRAGONFL.bmp
503225	4000	1678	0	 CARROT.bmp
511230	3000	1213	1	 BIRDCAGE.bmp
518235	3000	1921	1	 GORILLA.bmp
525224	3000	1259	1	 COW.bmp
532228	3000	2199	1	 BOW.bmp
539233	4000	1293	1	 BOWL.bmp
547222	4000	1455	1	 CHICKEN.bmp
555228	4000	1316	1	 CUP.bmp
563233	4000	1230	1	 BIRDNEST.bmp
571222	4000	3618	0	 ASPARAGU.bmp
579227	3000	1297	1	 BOTTLE.bmp
586232	4000	926	1	 CAT.bmp
