onset	duration	response_time	answer	type
31931	3000	1152	1	 HARP.bmp
38919	4000	875	1	 WOLF.bmp
46925	4000	2339	1	 SQUIRREL.bmp
54930	4000	1325	1	 ski.bmp
62919	4000	1328	1	 PLIERS.bmp
70925	3000	984	1	 RABBIT.bmp
77930	3000	1311	1	 UMBRELLA.bmp
84918	4000	1418	1	 LEG.bmp
92923	4000	1868	0	 SWAN.bmp
100929	4000	1484	1	 NECKLACE.bmp
108918	3000	1323	1	 ROCKET.bmp
115922	3000	1209	1	 PALMTREE.bmp
122927	3000	1396	1	 NOSE.bmp
129917	3000	2381	1	 WHIP.bmp
136920	4000	1071	1	 MOON.bmp
144926	4000	1799	1	 PANTS.bmp
152931	3000	1584	1	 NAIL.bmp
159919	3000	3299	1	 SAW.bmp
166924	4000	3707	0	 OSTRICH.bmp
174930	4000	1301	1	 MONKEY.bmp
182918	3000	1251	1	 TRUMPET.bmp
189923	4000	1727	1	 TELEPHON.bmp
197929	3000	1433	0	 STOOL.bmp
204917	3000	1687	1	 SCREW.bmp
211922	4000	2432	1	 PEAR.bmp
219927	3000	1517	1	 WELL.bmp
226917	4000	1437	1	 HAT.bmp
234921	4000	1163	1	 WHEEL.bmp
242926	3000	1570	1	 TIE.bmp
249931	4000	1017	1	 LAMP.bmp
257920	4000	1424	1	 SNAKE.bmp
265926	4000	1044	1	 SKULL.bmp
273931	3000	1911	0	 MICROSCO.bmp
280919	4000	1030	0	 SHOE.bmp
288925	3000	1795	1	 RAT.bmp
295930	3000	1561	1	 PICTURE.bmp
302918	4000	1279	1	 Scale.bmp
310923	3000	1698	1	 GLASS.bmp
317928	3000	1715	0	 WATERING.bmp
324917	4000	1426	1	 RULER.bmp
332922	4000	1947	1	 TRACTOR.bmp
340927	4000	1218	1	 PIPE.bmp
348917	4000	3351	0	 MOUNTAIN.bmp
356922	3000	2245	0	 SYRINGE.bmp
363926	3000	1903	1	 WINDOW.bmp
370931	4000	1602	1	 SPIDER.bmp
378920	3000	2595	1	 PEACOCK.bmp
385925	3000	1302	1	 TIGER.bmp
392930	3000	2518	1	 LADDER.bmp
399918	3000	1783	1	 PAINTBRU.bmp
406923	3000	1431	1	 SKIRT.bmp
413927	4000	1663	1	 LION.bmp
421917	4000	1277	1	 SNAIL.bmp
429922	4000	1255	1	 ROOSTER.bmp
437927	3000	1342	1	 HAMMER.bmp
444917	4000	1988	1	 CIGARETT.bmp
452921	4000	1315	1	 LOCK.bmp
460927	3000	1940	1	 NAILFILE.bmp
467931	4000	1487	1	 SOCK.bmp
475920	4000	1901	1	 MOTORCYC.bmp
483926	4000	1520	1	 SHIRT.bmp
491931	3000	1447	1	 LIGHTBUL.bmp
498919	3000	1647	0	 LADYBUG.bmp
505924	3000	1149	1	 PIANO.bmp
512929	3000	4000	0	 WEATHERV.bmp
519917	4000	1846	1	 RING.bmp
527923	3000	1551	1	 ZEBRA.bmp
534928	3000	3430	1	 PLUG.bmp
541917	4000	1572	1	 VASE.bmp
549921	4000	1336	1	 KNIFE.bmp
557927	3000	2048	1	 HYENA.bmp
564931	3000	1687	0	 HARMONIC.bmp
571920	3000	2380	0	 PELICAN.bmp
578924	3000	1776	0	 POT.bmp
