onset	duration	response_time	answer	type
36629	3000	1195	1	 TIE.bmp
43632	3000	1284	1	 VASE.bmp
50637	3000	1582	0	 WELL.bmp
57642	4000	904	1	 GLASS.bmp
65631	4000	2046	0	 POT.bmp
73637	4000	1871	1	 SYRINGE.bmp
81642	4000	1523	1	 CIGARETT.bmp
89631	3000	1275	1	 TRUMPET.bmp
96636	4000	1455	1	 PELICAN.bmp
104642	4000	1345	1	 OSTRICH.bmp
112631	4000	1253	1	 MONKEY.bmp
120637	4000	928	1	 MOON.bmp
128642	4000	1236	1	 MOUNTAIN.bmp
136631	4000	1572	0	 TRACTOR.bmp
144637	3000	1062	1	 SHIRT.bmp
151642	3000	1011	1	 LION.bmp
158630	3000	921	1	 KNIFE.bmp
165635	4000	1136	1	 SCREW.bmp
173641	3000	1628	1	 RULER.bmp
180629	3000	2197	1	 NAILFILE.bmp
187634	4000	1002	0	 RAT.bmp
195639	3000	1067	1	 NECKLACE.bmp
202629	3000	1175	1	 PEACOCK.bmp
209633	3000	1036	1	 ZEBRA.bmp
216638	3000	1019	1	 NOSE.bmp
223642	4000	2286	1	 PLUG.bmp
231631	3000	1154	1	 ROCKET.bmp
238636	3000	1582	1	 WHEEL.bmp
245641	3000	909	1	 SOCK.bmp
252630	3000	1078	1	 SNAIL.bmp
259635	3000	1004	1	 TELEPHON.bmp
266639	4000	1465	1	 SWAN.bmp
274629	4000	1781	1	 LEG.bmp
282634	4000	1113	1	 NAIL.bmp
290640	4000	1237	1	 SKULL.bmp
298629	4000	rien	0	 WEATHERV.bmp
306634	3000	1058	1	 PEAR.bmp
313639	4000	1027	1	 LAMP.bmp
321629	3000	1275	1	 TIGER.bmp
328633	3000	1095	1	 WOLF.bmp
335638	4000	1465	1	 SKIRT.bmp
343644	3000	1054	1	 LADYBUG.bmp
350632	3000	1760	1	 ski.bmp
357637	3000	1041	1	 STOOL.bmp
364642	4000	1444	0	 HYENA.bmp
372631	4000	1442	1	 Scale.bmp
380636	4000	963	1	 HAT.bmp
388642	4000	1231	1	 SNAKE.bmp
396631	4000	1089	1	 PIPE.bmp
404637	4000	1046	1	 LIGHTBUL.bmp
412642	4000	1335	1	 LOCK.bmp
420631	3000	1133	1	 PALMTREE.bmp
427636	3000	917	1	 RABBIT.bmp
434641	3000	1823	1	 WINDOW.bmp
441629	4000	1181	1	 SQUIRREL.bmp
449635	3000	1248	1	 PANTS.bmp
456640	4000	1307	1	 WHIP.bmp
464629	3000	1787	1	 LADDER.bmp
471634	4000	984	1	 SPIDER.bmp
479639	3000	1042	1	 PIANO.bmp
486629	4000	1790	1	 HARMONIC.bmp
494633	3000	1814	1	 MICROSCO.bmp
501638	3000	992	1	 PAINTBRU.bmp
508643	4000	946	1	 MOTORCYC.bmp
516632	3000	1334	1	 HARP.bmp
523637	3000	925	1	 UMBRELLA.bmp
530642	3000	1270	1	 RING.bmp
537630	3000	1331	1	 ROOSTER.bmp
544635	4000	1384	1	 WATERING.bmp
552641	3000	1067	1	 HAMMER.bmp
559629	4000	1355	1	 SAW.bmp
567635	4000	1624	1	 PLIERS.bmp
575640	4000	1309	1	 SHOE.bmp
583629	3000	1233	1	 PICTURE.bmp
