onset	duration	response_time	answer	type
33738	4000	1120	1	 VASE.bmp
41727	4000	1228	1	 SKULL.bmp
49733	3000	1268	1	 MOTORCYC.bmp
56738	4000	1188	1	 POT.bmp
64726	3000	1201	1	 PIANO.bmp
71731	4000	1617	1	 PLIERS.bmp
79737	4000	2305	0	 SPIDER.bmp
87726	3000	1342	1	 SKIRT.bmp
94730	4000	1361	1	 TRUMPET.bmp
102736	4000	1361	1	 WHEEL.bmp
110726	3000	rien	0	 PELICAN.bmp
117730	4000	1350	0	 MICROSCO.bmp
125735	3000	1333	0	 SNAIL.bmp
132740	4000	1000	0	 ZEBRA.bmp
140729	4000	1296	1	 KNIFE.bmp
148734	3000	1205	1	 GLASS.bmp
155739	3000	1617	1	 SAW.bmp
162727	3000	1172	0	 ROOSTER.bmp
169732	4000	rien	0	 HARMONIC.bmp
177738	3000	1728	1	 NAIL.bmp
184726	3000	1067	1	 SWAN.bmp
191731	4000	1946	1	 MOON.bmp
199736	3000	1182	1	 RAT.bmp
206726	3000	1154	1	 PALMTREE.bmp
213729	4000	1796	1	 MOUNTAIN.bmp
221735	4000	1750	1	 SYRINGE.bmp
229740	3000	1163	1	 TELEPHON.bmp
236728	3000	1484	1	 OSTRICH.bmp
243733	4000	2829	1	 TIGER.bmp
251739	3000	2155	1	 WATERING.bmp
258727	3000	1056	1	 RULER.bmp
265731	4000	1338	1	 HAMMER.bmp
273737	4000	1299	1	 TRACTOR.bmp
281726	3000	1684	0	 WELL.bmp
288731	3000	1508	1	 ROCKET.bmp
295736	4000	1528	1	 WINDOW.bmp
303726	3000	1029	1	 LAMP.bmp
310729	3000	1802	0	 HYENA.bmp
317734	4000	957	1	 PANTS.bmp
325740	3000	1015	1	 LIGHTBUL.bmp
332728	3000	1172	1	 HARP.bmp
339732	3000	1189	1	 LEG.bmp
346737	3000	1044	1	 UMBRELLA.bmp
353726	3000	2382	1	 NAILFILE.bmp
360730	3000	rien	0	 PLUG.bmp
367735	4000	913	1	 NECKLACE.bmp
375741	4000	1401	1	 SOCK.bmp
383729	3000	1653	1	 WHIP.bmp
390734	4000	1642	1	 WEATHERV.bmp
398740	4000	1358	1	 PEACOCK.bmp
406729	4000	1553	1	 CIGARETT.bmp
414734	4000	1135	1	 NOSE.bmp
422740	4000	1547	1	 SCREW.bmp
430728	4000	1296	1	 SHIRT.bmp
438734	3000	1156	1	 LOCK.bmp
445739	3000	2434	1	 Scale.bmp
452727	3000	1202	1	 HAT.bmp
459732	3000	1190	1	 LADYBUG.bmp
466737	3000	2879	1	 PIPE.bmp
473726	3000	1606	1	 LION.bmp
480730	4000	943	1	 SHOE.bmp
488735	4000	1650	1	 STOOL.bmp
496741	3000	1647	1	 WOLF.bmp
503729	3000	1535	0	 PAINTBRU.bmp
510734	4000	1238	1	 LADDER.bmp
518739	4000	960	1	 PEAR.bmp
526728	3000	1107	0	 MONKEY.bmp
533733	4000	1398	1	 SQUIRREL.bmp
541738	3000	1297	1	 TIE.bmp
548727	4000	1343	1	 RABBIT.bmp
556732	4000	1352	0	 PICTURE.bmp
564737	3000	1700	1	 RING.bmp
571726	4000	1304	1	 ski.bmp
579731	4000	1760	1	 SNAKE.bmp
