onset	duration	response_time	answer	type
33386	3000	890	1	 ALLIGATO.bmp
40374	4000	1173	1	 DRESSER.bmp
48380	4000	2175	0	 BOW.bmp
56385	3000	1090	1	 BICYCLE.bmp
63373	4000	952	1	 CUP.bmp
71379	4000	995	1	 ELEPHANT.bmp
79385	4000	1041	1	 AXE.bmp
87373	4000	922	1	 FISH.bmp
95379	4000	1612	1	 EYE.bmp
103385	4000	1177	1	 COW.bmp
111374	4000	1306	1	 DOLPHIN.bmp
119379	4000	1190	1	 DEER.bmp
127385	3000	3076	1	 DRAGONFL.bmp
134373	4000	1288	1	 FEATHER.bmp
142379	4000	1209	1	 COMPASS.bmp
150384	3000	1521	1	 BOTTLE.bmp
157372	4000	801	1	 CARROT.bmp
165378	3000	1049	1	 BOOT.bmp
172383	3000	1188	1	 BOX.bmp
179371	4000	849	1	 CAT.bmp
187377	4000	1011	1	 BELT.bmp
195382	4000	1095	1	 DOGHOUSE.bmp
203371	4000	915	1	 CHIMNEY.bmp
211377	3000	1760	1	 CROWN.bmp
218382	4000	895	1	 APPLE.bmp
226371	4000	994	1	 BOWL.bmp
234376	3000	993	1	 DUSTPAN.bmp
241381	3000	951	1	 CLOUD.bmp
248371	3000	1263	1	 BEE.bmp
255374	4000	1003	1	 BIRDCAGE.bmp
263380	3000	612	1	 frenchcr.bmp
270385	4000	890	1	 CHICKEN.bmp
278374	3000	924	1	 CLOWN.bmp
285379	3000	952	1	 ACORN.bmp
292383	3000	1029	1	 EAR.bmp
299372	3000	rien	0	 FAN.bmp
306376	3000	1769	1	 SCORPION.bmp
313381	4000	791	1	 GUITAR.bmp
321371	4000	936	1	 CHEESE.bmp
329376	4000	1096	1	 FLOWER.bmp
337381	3000	1123	1	 ACCORDIO.bmp
344371	3000	1128	1	 ANCHOR.bmp
351375	4000	962	1	 GARBAGEC.bmp
359380	4000	1278	1	 CRAB.bmp
367386	3000	776	1	 BENCH.bmp
374374	3000	1716	1	 FUNNEL.bmp
381379	3000	999	1	 ENVELOPE.bmp
388384	3000	1149	1	 DOORKNOB.bmp
395372	4000	1272	1	 CANNON.bmp
403378	3000	953	1	 FAUCET.bmp
410382	3000	2085	1	 ASPARAGU.bmp
417371	4000	1083	1	 CATERPIL.bmp
425376	4000	914	1	 RAY.bmp
433382	3000	810	1	 GLOVE.bmp
440371	4000	963	1	 GORILLA.bmp
448376	4000	876	1	 BUTTERFL.bmp
456381	4000	1355	1	 HAMMOCK.bmp
464371	3000	841	1	 AIRPLANE.bmp
471375	3000	1307	1	 FLAG.bmp
478380	3000	964	1	 BIRDNEST.bmp
485385	4000	1619	0	 FRYINGPA.bmp
493374	4000	1297	1	 CAR.bmp
501379	3000	985	0	 EAGLE.bmp
508384	4000	861	1	 BEAR.bmp
516373	3000	886	1	 BROOM.bmp
523378	3000	1268	1	 ARTICHOK.bmp
530383	3000	901	1	 BRAIN.bmp
537371	4000	989	1	 CAP.bmp
545377	4000	1364	0	 COAT.bmp
553382	3000	895	1	 ASHTRAY.bmp
560371	3000	957	1	 CORN.bmp
567375	3000	949	1	 DONKEY.bmp
574380	4000	1124	1	 FORK.bmp
582386	3000	1536	1	 DRESS.bmp
