onset	duration	response_time	answer	type
134842	3000	1216	1	 BUTTERFL.bmp
141846	3000	2107	1	 RAY.bmp
148851	4000	1824	1	 EAGLE.bmp
156857	4000	1981	0	 CAP.bmp
164846	3000	2980	1	 SCORPION.bmp
171851	3000	1378	1	 BROOM.bmp
178856	4000	3077	1	 DUSTPAN.bmp
186844	3000	2039	1	 CHICKEN.bmp
193849	4000	1427	1	 CUP.bmp
201855	4000	2029	1	 FLOWER.bmp
209844	3000	1650	1	 ACORN.bmp
216849	3000	1468	1	 EAR.bmp
223854	4000	1805	1	 FLAG.bmp
231843	4000	1906	1	 BIRDNEST.bmp
239848	4000	1319	1	 AXE.bmp
247854	3000	2183	1	 COW.bmp
254842	4000	1163	1	 CARROT.bmp
262848	3000	1264	1	 CLOUD.bmp
269852	3000	1432	1	 BOW.bmp
276842	4000	1544	0	 ALLIGATO.bmp
284846	4000	1963	0	 DOORKNOB.bmp
292852	4000	1742	0	 BOWL.bmp
300842	4000	1333	1	 GARBAGEC.bmp
308846	4000	1130	0	 ENVELOPE.bmp
316852	3000	1055	1	 GLOVE.bmp
323857	3000	1568	0	 CHIMNEY.bmp
330845	4000	1955	1	 DEER.bmp
338851	4000	1598	1	 CORN.bmp
346856	4000	1253	1	 CANNON.bmp
354845	3000	rien	0	 HAMMOCK.bmp
361850	3000	1846	1	 CLOWN.bmp
368855	4000	2223	0	 FUNNEL.bmp
376844	4000	1142	1	 DRESS.bmp
384850	4000	2823	1	 CHEESE.bmp
392855	3000	1427	1	 BOX.bmp
399843	3000	2600	0	 CROWN.bmp
406848	4000	1727	1	 FAUCET.bmp
414854	3000	3252	1	 DOGHOUSE.bmp
421842	3000	1944	1	 DONKEY.bmp
428847	3000	rien	0	 CATERPIL.bmp
435852	4000	2091	0	 GORILLA.bmp
443842	3000	rien	0	 ANCHOR.bmp
450846	4000	1388	0	 DRAGONFL.bmp
458851	4000	1649	1	 BOOT.bmp
466857	4000	1652	1	 BRAIN.bmp
474846	3000	1344	1	 BOTTLE.bmp
481851	4000	1751	1	 BEAR.bmp
489856	4000	rien	0	 ARTICHOK.bmp
497845	4000	1115	1	 CAT.bmp
505851	4000	1723	1	 ELEPHANT.bmp
513856	4000	1535	1	 GUITAR.bmp
521845	3000	1954	1	 BELT.bmp
528850	3000	1494	1	 APPLE.bmp
535855	3000	1393	0	 EYE.bmp
542843	3000	1971	1	 frenchcr.bmp
549848	3000	1956	1	 BEE.bmp
556853	3000	rien	0	 ASPARAGU.bmp
563842	3000	2555	1	 COMPASS.bmp
570846	4000	2011	1	 FEATHER.bmp
578852	4000	2102	1	 BENCH.bmp
586842	3000	1890	1	 CRAB.bmp
593846	3000	2652	1	 DOLPHIN.bmp
600850	3000	2047	1	 BIRDCAGE.bmp
607855	3000	1972	1	 FRYINGPA.bmp
614844	3000	1345	1	 CAR.bmp
621848	4000	1611	1	 FISH.bmp
629854	4000	2136	1	 FORK.bmp
637843	4000	rien	0	 ACCORDIO.bmp
645849	4000	1187	1	 BICYCLE.bmp
653854	4000	3567	1	 ASHTRAY.bmp
661843	3000	2662	1	 COAT.bmp
668848	3000	3116	1	 DRESSER.bmp
675853	4000	1651	1	 AIRPLANE.bmp
683842	3000	rien	0	 FAN.bmp
