onset	duration	response_time	answer	type
50302	2000	598	1	 SHOE.bmp
56306	3000	760	1	 LIGHTBUL.bmp
63311	2000	895	1	 WHEEL.bmp
69299	2000	882	1	 WELL.bmp
75303	3000	763	1	 KNIFE.bmp
82308	3000	1272	1	 PLIERS.bmp
89313	3000	769	1	 MOTORCYC.bmp
96301	2000	784	0	 PICTURE.bmp
102305	2000	574	1	 SNAKE.bmp
108310	3000	679	1	 STOOL.bmp
115298	2000	545	1	 NOSE.bmp
121302	3000	778	1	 WINDOW.bmp
128307	2000	852	1	 LADYBUG.bmp
134311	3000	995	1	 ROOSTER.bmp
141299	3000	991	1	 PANTS.bmp
148304	2000	793	1	 NECKLACE.bmp
154309	2000	863	1	 TRUMPET.bmp
160313	2000	975	1	 LAMP.bmp
166300	3000	853	1	 HAT.bmp
173305	3000	969	1	 LEG.bmp
180310	3000	1157	1	 TRACTOR.bmp
187298	2000	1521	1	 WHIP.bmp
193303	2000	1735	1	 PELICAN.bmp
199307	2000	853	1	 SNAIL.bmp
205311	2000	1764	1	 MOUNTAIN.bmp
211299	3000	977	1	 PAINTBRU.bmp
218303	2000	1072	0	 WOLF.bmp
224308	2000	rien	0	 WEATHERV.bmp
230312	2000	703	1	 RABBIT.bmp
236299	3000	952	1	 MICROSCO.bmp
243304	3000	1323	1	 SKIRT.bmp
250309	3000	1320	1	 ROCKET.bmp
257298	2000	834	1	 GLASS.bmp
263302	2000	775	1	 VASE.bmp
269306	2000	1233	1	 SWAN.bmp
275310	2000	2129	1	 NAIL.bmp
281298	3000	933	1	 Scale.bmp
288303	3000	1086	1	 CIGARETT.bmp
295307	3000	867	1	 SHIRT.bmp
302312	3000	1358	1	 HAMMER.bmp
309301	3000	1203	1	 PLUG.bmp
316306	2000	1192	1	 PALMTREE.bmp
322310	2000	1024	1	 SPIDER.bmp
328298	3000	887	0	 SYRINGE.bmp
335302	3000	930	1	 TIGER.bmp
342307	2000	703	1	 UMBRELLA.bmp
348311	2000	952	1	 LION.bmp
354299	3000	1301	1	 OSTRICH.bmp
361304	3000	654	1	 MONKEY.bmp
368309	2000	1237	1	 LADDER.bmp
374313	3000	rien	0	 HARMONIC.bmp
381301	2000	1640	0	 TIE.bmp
387305	2000	642	1	 MOON.bmp
393310	2000	833	1	 SAW.bmp
399298	2000	1018	1	 ski.bmp
405301	3000	779	1	 PEAR.bmp
412306	3000	778	1	 WATERING.bmp
419311	3000	1033	1	 PIPE.bmp
426299	3000	835	1	 TELEPHON.bmp
433304	3000	885	1	 RAT.bmp
440309	3000	855	1	 LOCK.bmp
447298	2000	850	1	 RING.bmp
453302	3000	1200	1	 PEACOCK.bmp
460307	3000	rien	0	 HYENA.bmp
467312	2000	660	1	 SOCK.bmp
473299	3000	1157	1	 POT.bmp
480304	2000	1239	1	 SQUIRREL.bmp
486308	3000	1282	0	 SKULL.bmp
493298	2000	1896	1	 HARP.bmp
499301	3000	745	1	 PIANO.bmp
506306	2000	1534	1	 NAILFILE.bmp
512310	2000	973	1	 ZEBRA.bmp
518298	2000	1537	1	 SCREW.bmp
524302	2000	604	1	 RULER.bmp
