onset	duration	response_time	answer	type
30927	2000	1465	1	 CUP.bmp
36931	2000	855	1	 GARBAGEC.bmp
42919	2000	808	0	 GORILLA.bmp
48923	3000	847	1	 CARROT.bmp
55928	3000	1070	1	 BOWL.bmp
62933	2000	937	1	 CRAB.bmp
68921	3000	933	0	 DEER.bmp
75926	2000	937	1	 EAR.bmp
81930	2000	1082	1	 SCORPION.bmp
87919	3000	974	1	 frenchcr.bmp
94922	2000	867	1	 AXE.bmp
100926	2000	1313	1	 DOGHOUSE.bmp
106931	2000	1007	0	 CHEESE.bmp
112919	3000	922	1	 DOLPHIN.bmp
119923	2000	1690	0	 BEE.bmp
125927	3000	1088	1	 CATERPIL.bmp
132932	2000	1749	0	 DRESSER.bmp
138920	3000	786	1	 CROWN.bmp
145925	2000	812	1	 CAT.bmp
151929	2000	809	1	 FLOWER.bmp
157933	2000	1052	1	 ENVELOPE.bmp
163921	2000	1091	1	 DOORKNOB.bmp
169925	3000	1052	1	 DRESS.bmp
176930	2000	1070	1	 EYE.bmp
182919	2000	1113	1	 ALLIGATO.bmp
188922	2000	949	1	 CLOWN.bmp
194926	3000	839	1	 CAR.bmp
201931	2000	892	1	 FLAG.bmp
207919	2000	836	1	 BRAIN.bmp
213923	3000	849	1	 CHIMNEY.bmp
220928	3000	1636	1	 ARTICHOK.bmp
227933	2000	1608	0	 DRAGONFL.bmp
233920	3000	850	1	 FORK.bmp
240925	2000	878	1	 FEATHER.bmp
246929	2000	990	1	 BROOM.bmp
252934	3000	1081	0	 COAT.bmp
259922	2000	1249	1	 BUTTERFL.bmp
265926	3000	1152	1	 BICYCLE.bmp
272931	2000	875	1	 FISH.bmp
278919	3000	913	1	 CANNON.bmp
285923	2000	1024	1	 BIRDCAGE.bmp
291928	3000	964	1	 BOTTLE.bmp
298933	3000	1383	1	 EAGLE.bmp
305921	3000	1750	1	 HAMMOCK.bmp
312926	3000	rien	0	 DUSTPAN.bmp
319931	3000	1400	1	 FUNNEL.bmp
326919	2000	1195	1	 BIRDNEST.bmp
332923	2000	1383	1	 COMPASS.bmp
338927	3000	930	1	 ASHTRAY.bmp
345932	3000	952	1	 ACCORDIO.bmp
352921	3000	878	1	 ELEPHANT.bmp
359926	3000	1215	1	 BOW.bmp
366930	2000	1351	1	 BEAR.bmp
372919	3000	993	0	 CORN.bmp
379923	3000	1302	1	 FAN.bmp
386928	3000	1671	1	 ACORN.bmp
393933	3000	898	1	 AIRPLANE.bmp
400921	3000	1142	1	 CLOUD.bmp
407926	2000	1017	1	 APPLE.bmp
413930	2000	1226	1	 DONKEY.bmp
419919	2000	1124	1	 BENCH.bmp
425922	2000	1235	1	 BOX.bmp
431926	3000	1155	1	 CHICKEN.bmp
438931	3000	909	1	 GUITAR.bmp
445919	3000	1007	1	 COW.bmp
452924	3000	1133	1	 BOOT.bmp
459929	3000	1941	1	 ASPARAGU.bmp
466919	2000	896	1	 BELT.bmp
472922	2000	1743	1	 RAY.bmp
478926	3000	1340	1	 FRYINGPA.bmp
485931	2000	1227	1	 FAUCET.bmp
491919	3000	893	1	 CAP.bmp
498923	3000	1083	1	 GLOVE.bmp
505928	3000	931	1	 ANCHOR.bmp
