onset	duration	response_time	answer	type
29844	3000	870	1	 ELEPHANT.bmp
36849	3000	892	1	 BOX.bmp
43837	3000	740	1	 BOW.bmp
50842	3000	803	1	 ALLIGATO.bmp
57847	3000	647	1	 BELT.bmp
64852	3000	811	1	 GLOVE.bmp
71840	3000	1589	1	 ARTICHOK.bmp
78845	2000	1162	1	 CROWN.bmp
84849	2000	rien	0	 DOGHOUSE.bmp
90837	3000	892	1	 CAR.bmp
97841	3000	913	1	 FRYINGPA.bmp
104846	2000	825	1	 frenchcr.bmp
110850	3000	1402	1	 CAP.bmp
117839	3000	692	1	 ASHTRAY.bmp
124844	2000	828	1	 CORN.bmp
130848	2000	1038	1	 BOTTLE.bmp
136837	3000	969	1	 FUNNEL.bmp
143840	2000	648	1	 FLAG.bmp
149844	3000	1225	0	 CHEESE.bmp
156849	3000	964	1	 DEER.bmp
163838	3000	781	1	 CLOUD.bmp
170842	3000	829	1	 CARROT.bmp
177847	2000	871	1	 BIRDNEST.bmp
183852	2000	987	1	 COAT.bmp
189839	2000	1062	1	 BOOT.bmp
195843	2000	1213	1	 CLOWN.bmp
201847	2000	1085	0	 ENVELOPE.bmp
207852	3000	1135	1	 BROOM.bmp
214840	2000	1022	1	 APPLE.bmp
220844	3000	1125	0	 GORILLA.bmp
227849	2000	994	1	 BOWL.bmp
233837	2000	1627	1	 DOORKNOB.bmp
239841	2000	828	1	 CUP.bmp
245845	2000	1407	1	 ANCHOR.bmp
251849	3000	rien	0	 ASPARAGU.bmp
258837	2000	1024	1	 COMPASS.bmp
264841	3000	1007	1	 BIRDCAGE.bmp
271846	3000	840	1	 EAR.bmp
278851	3000	1608	1	 CATERPIL.bmp
285839	2000	1245	1	 BUTTERFL.bmp
291844	3000	1291	1	 CHICKEN.bmp
298848	2000	902	1	 FISH.bmp
304837	2000	1071	1	 GUITAR.bmp
310840	2000	997	1	 CAT.bmp
316844	2000	1784	0	 FAN.bmp
322849	3000	1341	1	 COW.bmp
329837	2000	1000	1	 BICYCLE.bmp
335841	3000	934	1	 BEAR.bmp
342846	3000	876	1	 AXE.bmp
349851	3000	922	1	 DRESS.bmp
356839	2000	722	1	 CHIMNEY.bmp
362843	2000	728	1	 BRAIN.bmp
368847	3000	1216	1	 DRESSER.bmp
375837	2000	831	1	 DONKEY.bmp
381840	2000	1365	1	 BENCH.bmp
387844	3000	1249	1	 FLOWER.bmp
394849	2000	734	1	 AIRPLANE.bmp
400837	3000	1005	1	 DOLPHIN.bmp
407841	2000	871	1	 EYE.bmp
413846	2000	859	1	 CRAB.bmp
419850	3000	892	1	 FAUCET.bmp
426838	3000	rien	0	 ACCORDIO.bmp
433843	3000	961	1	 GARBAGEC.bmp
440848	3000	1375	1	 DUSTPAN.bmp
447837	3000	780	1	 ACORN.bmp
454841	3000	833	1	 RAY.bmp
461846	3000	rien	0	 CANNON.bmp
468851	3000	1030	1	 SCORPION.bmp
475839	2000	866	1	 DRAGONFL.bmp
481843	2000	875	1	 FORK.bmp
487847	2000	1522	0	 HAMMOCK.bmp
493851	2000	1251	1	 FEATHER.bmp
499839	2000	1510	1	 BEE.bmp
505843	2000	988	1	 EAGLE.bmp
