onset	duration	response_time	answer	type
34938	3000	1009	1	 WINDOW.bmp
41943	3000	812	1	 PALMTREE.bmp
48948	3000	1739	1	 LAMP.bmp
55936	2000	1223	0	 MOON.bmp
61940	2000	762	1	 PEAR.bmp
67944	3000	828	1	 PAINTBRU.bmp
74949	3000	1141	1	 LION.bmp
81938	2000	998	1	 PANTS.bmp
87942	3000	814	1	 PIANO.bmp
94947	3000	858	1	 SWAN.bmp
101935	3000	1208	1	 HYENA.bmp
108940	2000	rien	0	 PEACOCK.bmp
114944	2000	1184	0	 PICTURE.bmp
120948	2000	802	1	 RULER.bmp
126936	2000	934	1	 RAT.bmp
132940	3000	953	0	 MONKEY.bmp
139945	3000	819	1	 TELEPHON.bmp
146935	2000	859	1	 SQUIRREL.bmp
152937	2000	759	1	 HAT.bmp
158942	3000	860	1	 WELL.bmp
165947	3000	1002	1	 SPIDER.bmp
172935	3000	1068	1	 OSTRICH.bmp
179940	3000	887	1	 SYRINGE.bmp
186945	2000	915	1	 NECKLACE.bmp
192949	2000	706	1	 TIE.bmp
198936	3000	1673	0	 WEATHERV.bmp
205941	2000	924	1	 MOTORCYC.bmp
211946	3000	755	1	 SHOE.bmp
218935	2000	895	1	 MICROSCO.bmp
224938	3000	810	1	 ZEBRA.bmp
231943	3000	1425	0	 SKIRT.bmp
238948	2000	856	1	 HARP.bmp
244935	2000	1206	1	 WOLF.bmp
250940	3000	1075	0	 NAILFILE.bmp
257945	2000	1217	1	 LIGHTBUL.bmp
263949	2000	1143	1	 GLASS.bmp
269936	2000	2162	1	 HARMONIC.bmp
275941	2000	770	1	 PLUG.bmp
281945	2000	876	1	 PIPE.bmp
287949	3000	1478	1	 LEG.bmp
294937	3000	889	1	 Scale.bmp
301942	2000	823	1	 SOCK.bmp
307947	3000	920	1	 RABBIT.bmp
314935	2000	873	1	 WATERING.bmp
320939	2000	888	1	 MOUNTAIN.bmp
326943	3000	915	1	 SHIRT.bmp
333948	2000	1225	1	 VASE.bmp
339936	2000	1210	1	 SKULL.bmp
345940	2000	961	1	 ROCKET.bmp
351944	2000	1211	1	 TRACTOR.bmp
357948	3000	1327	1	 LADDER.bmp
364937	3000	884	1	 UMBRELLA.bmp
371941	2000	925	1	 RING.bmp
377946	3000	911	1	 WHEEL.bmp
384935	3000	1263	1	 POT.bmp
391939	2000	1351	1	 TIGER.bmp
397943	2000	1188	1	 ski.bmp
403947	3000	881	1	 SNAIL.bmp
410935	2000	741	1	 HAMMER.bmp
416940	3000	893	1	 WHIP.bmp
423945	2000	806	1	 SCREW.bmp
429949	3000	1072	1	 KNIFE.bmp
436937	2000	832	1	 SAW.bmp
442941	3000	949	1	 SNAKE.bmp
449946	2000	1891	1	 LADYBUG.bmp
455935	2000	961	1	 LOCK.bmp
461938	3000	915	0	 ROOSTER.bmp
468943	2000	1358	1	 PLIERS.bmp
474947	2000	1315	1	 NAIL.bmp
480935	2000	910	1	 PELICAN.bmp
486939	3000	753	1	 STOOL.bmp
493944	3000	985	1	 CIGARETT.bmp
500949	3000	749	1	 TRUMPET.bmp
507937	3000	829	1	 NOSE.bmp
