onset	duration	response_time	answer	type
31070	2000	807	1	 BOTTLE.bmp
37075	2000	785	1	 CORN.bmp
43062	3000	862	1	 DONKEY.bmp
50067	3000	1206	0	 DRESSER.bmp
57072	2000	1229	1	 BOW.bmp
63076	3000	1098	1	 BROOM.bmp
70065	3000	765	1	 EAR.bmp
77069	2000	1110	1	 FEATHER.bmp
83074	3000	942	1	 CAT.bmp
90062	3000	995	1	 COW.bmp
97067	2000	1787	1	 ACCORDIO.bmp
103071	3000	928	1	 GARBAGEC.bmp
110076	2000	951	1	 FISH.bmp
116063	3000	1023	1	 BEE.bmp
123068	3000	932	1	 FLOWER.bmp
130073	3000	1076	1	 BRAIN.bmp
137062	2000	rien	0	 DUSTPAN.bmp
143066	2000	995	1	 AXE.bmp
149070	2000	2039	1	 ARTICHOK.bmp
155074	3000	1805	1	 DRAGONFL.bmp
162063	3000	993	1	 BUTTERFL.bmp
169067	2000	1229	1	 ELEPHANT.bmp
175072	3000	984	1	 FAUCET.bmp
182077	2000	1175	1	 ANCHOR.bmp
188064	2000	817	1	 ASHTRAY.bmp
194068	2000	1026	1	 FLAG.bmp
200073	2000	1152	0	 COAT.bmp
206077	3000	978	1	 CHEESE.bmp
213065	2000	863	1	 CUP.bmp
219069	3000	1052	1	 CRAB.bmp
226074	2000	959	1	 BIRDCAGE.bmp
232062	3000	955	1	 BOWL.bmp
239067	3000	1239	1	 GORILLA.bmp
246072	2000	1471	1	 DOGHOUSE.bmp
252076	2000	1025	1	 CAR.bmp
258063	3000	1127	1	 CHICKEN.bmp
265068	2000	1137	1	 CAP.bmp
271073	3000	1043	1	 CLOWN.bmp
278062	3000	853	1	 SCORPION.bmp
285066	2000	1460	1	 EAGLE.bmp
291070	2000	1216	1	 DEER.bmp
297074	3000	935	1	 ALLIGATO.bmp
304062	2000	805	1	 GUITAR.bmp
310067	2000	834	1	 FUNNEL.bmp
316071	2000	951	1	 ASPARAGU.bmp
322075	3000	914	1	 BIRDNEST.bmp
329063	3000	925	1	 BEAR.bmp
336068	3000	1402	1	 RAY.bmp
343073	3000	877	1	 CANNON.bmp
350062	3000	2402	1	 HAMMOCK.bmp
357066	2000	1278	1	 CROWN.bmp
363070	3000	683	1	 CHIMNEY.bmp
370075	2000	934	1	 CATERPIL.bmp
376063	3000	1319	1	 FRYINGPA.bmp
383068	2000	985	1	 BICYCLE.bmp
389072	3000	1203	1	 COMPASS.bmp
396062	2000	933	1	 GLOVE.bmp
402065	2000	816	1	 CARROT.bmp
408069	3000	1158	1	 BENCH.bmp
415074	2000	1045	1	 EYE.bmp
421062	3000	985	0	 ACORN.bmp
428066	3000	1041	1	 APPLE.bmp
435071	3000	1255	1	 BOX.bmp
442076	2000	800	1	 frenchcr.bmp
448064	3000	rien	0	 FAN.bmp
455068	3000	816	1	 CLOUD.bmp
462073	3000	984	1	 DOORKNOB.bmp
469062	2000	1022	1	 BOOT.bmp
475066	3000	855	1	 DOLPHIN.bmp
482071	2000	691	1	 ENVELOPE.bmp
488075	2000	1124	1	 DRESS.bmp
494063	2000	751	1	 AIRPLANE.bmp
500067	2000	874	1	 BELT.bmp
506071	3000	1143	1	 FORK.bmp
