onset	duration	response_time	answer	type
34647	3000	2110	1	 SKULL.bmp
41652	4000	rien	0	 HYENA.bmp
49657	4000	1414	1	 SPIDER.bmp
57646	4000	1101	1	 TRUMPET.bmp
65652	3000	1741	1	 HARMONIC.bmp
72657	3000	1256	1	 SAW.bmp
79645	3000	859	1	 LEG.bmp
86649	4000	1972	1	 SHIRT.bmp
94655	3000	1037	1	 HAT.bmp
101643	4000	1248	1	 SYRINGE.bmp
109649	4000	1234	1	 POT.bmp
117654	3000	809	1	 RABBIT.bmp
124643	3000	1396	1	 NAIL.bmp
131647	4000	1673	1	 KNIFE.bmp
139653	3000	912	1	 NOSE.bmp
146658	4000	1405	1	 OSTRICH.bmp
154646	3000	1503	1	 PELICAN.bmp
161651	3000	2315	1	 PEACOCK.bmp
168656	4000	1011	1	 TIGER.bmp
176645	4000	1167	1	 PAINTBRU.bmp
184650	4000	1067	1	 NECKLACE.bmp
192656	4000	884	1	 WHEEL.bmp
200645	4000	1588	1	 MOON.bmp
208650	3000	1029	1	 HARP.bmp
215655	3000	1255	1	 WOLF.bmp
222643	3000	1380	1	 SHOE.bmp
229648	3000	1495	1	 WATERING.bmp
236653	4000	3456	0	 SWAN.bmp
244643	4000	1519	0	 NAILFILE.bmp
252647	3000	1594	0	 WEATHERV.bmp
259652	4000	1299	1	 Scale.bmp
267658	3000	2521	1	 ZEBRA.bmp
274646	4000	1063	0	 MOUNTAIN.bmp
282651	3000	1278	1	 UMBRELLA.bmp
289656	3000	922	1	 LAMP.bmp
296644	3000	1734	1	 LADDER.bmp
303649	3000	1041	1	 SOCK.bmp
310654	3000	1306	1	 SNAKE.bmp
317643	4000	1308	1	 LOCK.bmp
325648	3000	1567	1	 HAMMER.bmp
332653	3000	917	1	 RAT.bmp
339657	3000	1947	1	 MICROSCO.bmp
346646	3000	1567	1	 LIGHTBUL.bmp
353650	4000	2517	1	 LION.bmp
361656	4000	1266	1	 TIE.bmp
369645	3000	1669	1	 RULER.bmp
376650	4000	1048	1	 PIPE.bmp
384655	4000	932	1	 MOTORCYC.bmp
392644	3000	1530	1	 STOOL.bmp
399649	3000	1315	0	 SCREW.bmp
406654	4000	1064	1	 PICTURE.bmp
414643	4000	968	1	 PANTS.bmp
422648	4000	1493	1	 WELL.bmp
430653	3000	1330	1	 MONKEY.bmp
437643	4000	954	1	 TRACTOR.bmp
445647	4000	1598	0	 RING.bmp
453653	3000	1695	1	 SKIRT.bmp
460658	4000	1107	1	 ROOSTER.bmp
468646	3000	rien	0	 WHIP.bmp
475651	3000	1322	1	 SNAIL.bmp
482656	4000	rien	0	 ski.bmp
490645	3000	1352	1	 CIGARETT.bmp
497650	4000	1950	1	 PLUG.bmp
505655	4000	1212	1	 LADYBUG.bmp
513644	4000	1148	1	 PEAR.bmp
521650	4000	1437	1	 PALMTREE.bmp
529655	3000	914	1	 VASE.bmp
536643	4000	1003	1	 ROCKET.bmp
544649	3000	1562	1	 PIANO.bmp
551654	3000	1073	1	 GLASS.bmp
558643	4000	1564	1	 SQUIRREL.bmp
566647	4000	1550	1	 TELEPHON.bmp
574653	3000	1346	1	 WINDOW.bmp
581658	3000	rien	0	 PLIERS.bmp
