onset	duration	response_time	answer	type
31901	4000	1748	1	 PEAR.bmp
39890	3000	1302	0	 ROOSTER.bmp
46895	3000	1556	1	 PLUG.bmp
53900	4000	1302	1	 NECKLACE.bmp
61889	3000	rien	0	 PELICAN.bmp
68894	4000	1375	1	 PANTS.bmp
76900	3000	1645	1	 PALMTREE.bmp
83889	3000	rien	0	 HYENA.bmp
90893	3000	1287	1	 RAT.bmp
97898	3000	1577	1	 LIGHTBUL.bmp
104903	4000	2218	0	 LOCK.bmp
112891	4000	1216	1	 NOSE.bmp
120897	3000	1683	1	 TIE.bmp
127902	3000	1403	1	 SHIRT.bmp
134890	4000	2172	1	 OSTRICH.bmp
142896	4000	1432	1	 WOLF.bmp
150902	4000	1076	1	 SOCK.bmp
158891	3000	1363	1	 LION.bmp
165895	4000	1636	1	 WELL.bmp
173901	4000	1651	1	 ZEBRA.bmp
181890	4000	1891	1	 SKIRT.bmp
189896	4000	1494	1	 PEACOCK.bmp
197901	3000	1169	0	 NAILFILE.bmp
204890	4000	1506	0	 SNAIL.bmp
212895	3000	rien	0	 LADYBUG.bmp
219900	4000	1085	1	 SKULL.bmp
227889	4000	rien	0	 TRACTOR.bmp
235895	4000	1359	1	 SCREW.bmp
243900	3000	1148	1	 MOON.bmp
250889	3000	1432	0	 CIGARETT.bmp
257894	3000	1237	1	 PIANO.bmp
264898	4000	1182	1	 SWAN.bmp
272889	4000	1822	1	 SYRINGE.bmp
280893	4000	rien	0	 SQUIRREL.bmp
288899	4000	1569	1	 ski.bmp
296889	4000	1587	1	 NAIL.bmp
304893	3000	1403	1	 TRUMPET.bmp
311898	4000	1625	1	 ROCKET.bmp
319904	3000	1424	1	 PICTURE.bmp
326892	3000	1177	1	 MOTORCYC.bmp
333897	3000	1437	1	 LADDER.bmp
340902	3000	1597	1	 HAMMER.bmp
347890	3000	1226	1	 TIGER.bmp
354895	3000	rien	0	 HARMONIC.bmp
361900	3000	1551	1	 WINDOW.bmp
368889	3000	1196	1	 WHEEL.bmp
375893	4000	998	1	 GLASS.bmp
383899	3000	1297	1	 PAINTBRU.bmp
390904	3000	1493	1	 SHOE.bmp
397892	3000	1925	1	 MONKEY.bmp
404897	4000	1341	1	 LEG.bmp
412903	4000	rien	0	 HARP.bmp
420892	3000	rien	0	 WEATHERV.bmp
427896	3000	1468	1	 SAW.bmp
434901	3000	1484	1	 PLIERS.bmp
441890	3000	1671	1	 UMBRELLA.bmp
448895	3000	rien	0	 MICROSCO.bmp
455900	3000	1538	1	 SPIDER.bmp
462889	4000	1646	1	 STOOL.bmp
470893	4000	1606	0	 POT.bmp
478899	4000	1281	1	 RULER.bmp
486889	4000	983	1	 KNIFE.bmp
494894	3000	1096	1	 RABBIT.bmp
501899	3000	1715	1	 RING.bmp
508903	4000	1227	1	 Scale.bmp
516892	3000	1390	1	 WHIP.bmp
523897	4000	1173	1	 PIPE.bmp
531903	3000	rien	0	 WATERING.bmp
538891	4000	1612	1	 LAMP.bmp
546897	4000	1239	1	 VASE.bmp
554903	4000	1394	1	 MOUNTAIN.bmp
562892	4000	1117	1	 SNAKE.bmp
570897	4000	1139	1	 TELEPHON.bmp
578903	3000	1256	1	 HAT.bmp
