onset	duration	response_time	answer	type
38903	3000	1149	1	 MICROSCO.bmp
45908	2000	1008	1	 ZEBRA.bmp
51896	2000	1114	1	 WOLF.bmp
57900	2000	1405	1	 MONKEY.bmp
63904	2000	1554	1	 SPIDER.bmp
69908	3000	1359	1	 PLIERS.bmp
76896	2000	960	1	 LOCK.bmp
82901	2000	998	1	 STOOL.bmp
88905	2000	1029	0	 PICTURE.bmp
94909	3000	958	1	 SHOE.bmp
101897	3000	991	1	 WHIP.bmp
108902	2000	877	1	 LEG.bmp
114906	2000	896	1	 PEAR.bmp
120895	3000	766	1	 GLASS.bmp
127898	2000	847	1	 SYRINGE.bmp
133902	3000	872	1	 SAW.bmp
140907	2000	1031	1	 WINDOW.bmp
146895	2000	1096	1	 Scale.bmp
152899	2000	745	1	 SNAKE.bmp
158903	3000	1409	1	 MOTORCYC.bmp
165908	3000	1238	1	 HARP.bmp
172896	2000	1022	1	 UMBRELLA.bmp
178900	2000	1160	1	 LADYBUG.bmp
184904	2000	834	1	 SOCK.bmp
190908	2000	1100	1	 PEACOCK.bmp
196896	3000	930	1	 ski.bmp
203901	2000	1150	1	 LION.bmp
209905	3000	1012	1	 MOON.bmp
216910	2000	1108	1	 PANTS.bmp
222897	3000	1809	1	 TRUMPET.bmp
229902	3000	1356	1	 PAINTBRU.bmp
236907	2000	796	1	 PIANO.bmp
242895	3000	1182	1	 CIGARETT.bmp
249899	2000	1207	1	 TIGER.bmp
255903	2000	903	1	 WELL.bmp
261907	3000	rien	0	 WEATHERV.bmp
268896	2000	1441	1	 ROOSTER.bmp
274900	2000	1232	1	 KNIFE.bmp
280904	2000	948	1	 RULER.bmp
286908	3000	1005	1	 PALMTREE.bmp
293896	3000	878	1	 VASE.bmp
300901	3000	1619	1	 TRACTOR.bmp
307906	3000	1075	1	 NECKLACE.bmp
314895	3000	1129	1	 SWAN.bmp
321899	2000	1087	1	 SKULL.bmp
327903	3000	1209	1	 PLUG.bmp
334908	2000	1464	0	 WHEEL.bmp
340895	3000	1002	0	 RAT.bmp
347900	3000	1164	1	 TIE.bmp
354905	3000	1135	1	 HAMMER.bmp
361910	3000	1141	1	 HAT.bmp
368898	2000	1564	1	 OSTRICH.bmp
374902	2000	1414	1	 LIGHTBUL.bmp
380906	3000	2149	1	 SCREW.bmp
387895	3000	2780	1	 WATERING.bmp
394899	3000	1444	1	 MOUNTAIN.bmp
401904	2000	1172	1	 SNAIL.bmp
407908	3000	1136	1	 TELEPHON.bmp
414896	3000	1134	1	 SHIRT.bmp
421901	3000	2779	0	 LADDER.bmp
428906	3000	rien	0	 PELICAN.bmp
435895	2000	905	1	 NOSE.bmp
441898	2000	1122	1	 SQUIRREL.bmp
447902	2000	1113	1	 RING.bmp
453907	3000	1127	1	 ROCKET.bmp
460895	2000	1178	1	 HYENA.bmp
466899	2000	1752	1	 NAIL.bmp
472903	3000	rien	0	 HARMONIC.bmp
479908	3000	1407	0	 NAILFILE.bmp
486896	3000	917	1	 SKIRT.bmp
493901	2000	1397	1	 RABBIT.bmp
499905	2000	1085	1	 PIPE.bmp
505909	3000	1931	1	 LAMP.bmp
512897	2000	1293	1	 POT.bmp
