onset	duration	response_time	answer	type
29354	3000	1570	1	 CATERPIL.bmp
36359	3000	1478	1	 ACCORDIO.bmp
43349	4000	1258	1	 CLOWN.bmp
51353	4000	2065	1	 HAMMOCK.bmp
59359	4000	1207	1	 BOOT.bmp
67349	3000	1614	1	 AXE.bmp
74353	3000	1607	1	 DOORKNOB.bmp
81358	4000	1093	1	 DRESS.bmp
89363	3000	765	1	 CAT.bmp
96352	4000	1291	1	 CHIMNEY.bmp
104357	3000	1966	1	 CAP.bmp
111362	4000	1656	1	 FUNNEL.bmp
119351	3000	1489	1	 BUTTERFL.bmp
126356	4000	1203	1	 FORK.bmp
134362	4000	1476	1	 BEE.bmp
142351	4000	1081	1	 DEER.bmp
150357	4000	1036	1	 ACORN.bmp
158362	3000	1175	1	 RAY.bmp
165350	3000	978	1	 CRAB.bmp
172355	4000	rien	0	 DUSTPAN.bmp
180361	4000	987	1	 CAR.bmp
188350	3000	1016	1	 GARBAGEC.bmp
195355	4000	1451	1	 BRAIN.bmp
203361	3000	995	1	 FEATHER.bmp
210349	3000	1530	1	 ANCHOR.bmp
217354	3000	925	1	 APPLE.bmp
224359	4000	1031	1	 BOTTLE.bmp
232349	4000	961	1	 BIRDCAGE.bmp
240353	3000	1290	1	 BEAR.bmp
247358	4000	1556	1	 GLOVE.bmp
255349	4000	785	1	 CARROT.bmp
263353	3000	965	1	 ALLIGATO.bmp
270358	4000	1317	1	 FLAG.bmp
278364	3000	1378	1	 FRYINGPA.bmp
285352	3000	2069	0	 ASPARAGU.bmp
292357	3000	1070	1	 FISH.bmp
299362	4000	1254	1	 AIRPLANE.bmp
307351	3000	1173	1	 EAR.bmp
314356	4000	1068	1	 frenchcr.bmp
322361	3000	1026	1	 COW.bmp
329350	4000	985	1	 BELT.bmp
337355	3000	1582	0	 BOWL.bmp
344360	4000	1481	1	 CHEESE.bmp
352349	4000	1092	1	 BIRDNEST.bmp
360355	3000	1145	1	 FLOWER.bmp
367360	3000	1241	1	 CLOUD.bmp
374349	3000	1531	1	 FAN.bmp
381353	4000	1033	1	 GUITAR.bmp
389359	4000	977	1	 CROWN.bmp
397349	4000	1620	1	 CORN.bmp
405353	3000	2667	0	 ASHTRAY.bmp
412358	3000	1075	1	 CHICKEN.bmp
419363	4000	1116	1	 DOGHOUSE.bmp
427352	3000	946	1	 BICYCLE.bmp
434357	3000	1282	1	 COMPASS.bmp
441362	3000	938	1	 CUP.bmp
448350	4000	1350	1	 GORILLA.bmp
456356	4000	1532	1	 EYE.bmp
464362	4000	1407	1	 SCORPION.bmp
472351	3000	881	1	 BENCH.bmp
479356	4000	1164	1	 FAUCET.bmp
487361	3000	1137	1	 DONKEY.bmp
494350	3000	1258	1	 CANNON.bmp
501355	4000	956	1	 BROOM.bmp
509360	3000	1581	1	 DOLPHIN.bmp
516349	4000	1036	1	 ELEPHANT.bmp
524354	4000	2028	1	 ENVELOPE.bmp
532360	3000	1929	0	 ARTICHOK.bmp
539349	4000	3245	1	 DRESSER.bmp
547354	4000	1256	1	 DRAGONFL.bmp
555359	3000	1407	1	 EAGLE.bmp
562349	4000	1613	1	 BOX.bmp
570353	4000	955	1	 BOW.bmp
578359	3000	1681	0	 COAT.bmp
