onset	duration	response_time	answer	type
37832	2000	1602	0	 RAT.bmp
43835	3000	747	1	 TELEPHON.bmp
50839	2000	874	1	 WELL.bmp
56844	2000	827	1	 PIPE.bmp
62832	3000	906	1	 PEAR.bmp
69836	2000	974	1	 SCREW.bmp
75840	2000	886	1	 TIGER.bmp
81845	3000	772	1	 LAMP.bmp
88833	3000	818	1	 KNIFE.bmp
95838	2000	877	1	 SPIDER.bmp
101842	3000	1016	1	 ROOSTER.bmp
108832	3000	870	1	 MICROSCO.bmp
115835	3000	844	1	 PAINTBRU.bmp
122840	2000	641	1	 SHOE.bmp
128844	3000	879	1	 MOUNTAIN.bmp
135833	3000	802	1	 ski.bmp
142838	3000	905	1	 RING.bmp
149843	3000	726	1	 HAT.bmp
156832	2000	833	1	 SKIRT.bmp
162835	3000	724	1	 MONKEY.bmp
169840	3000	835	1	 CIGARETT.bmp
176845	3000	852	1	 WINDOW.bmp
183833	2000	688	1	 TIE.bmp
189837	2000	979	1	 MOTORCYC.bmp
195842	3000	958	1	 WHEEL.bmp
202847	3000	759	1	 LIGHTBUL.bmp
209835	2000	849	1	 ZEBRA.bmp
215839	2000	808	1	 POT.bmp
221843	2000	800	1	 NOSE.bmp
227832	2000	964	1	 PELICAN.bmp
233835	2000	816	1	 SNAIL.bmp
239839	2000	968	1	 PEACOCK.bmp
245843	2000	779	1	 PALMTREE.bmp
251832	2000	665	1	 SYRINGE.bmp
257835	2000	634	1	 SOCK.bmp
263840	3000	1104	1	 PICTURE.bmp
270844	3000	870	1	 PIANO.bmp
277833	2000	653	0	 ROCKET.bmp
283837	2000	821	1	 VASE.bmp
289841	2000	863	1	 MOON.bmp
295845	2000	1146	1	 HAMMER.bmp
301833	3000	884	1	 SWAN.bmp
308838	3000	968	1	 WEATHERV.bmp
315843	3000	1226	1	 UMBRELLA.bmp
322832	3000	892	1	 SAW.bmp
329836	2000	1494	1	 OSTRICH.bmp
335840	3000	769	1	 PANTS.bmp
342845	3000	1247	1	 PLIERS.bmp
349833	3000	780	1	 HARMONIC.bmp
356838	3000	771	1	 HARP.bmp
363843	2000	1173	1	 NAIL.bmp
369832	2000	839	1	 TRACTOR.bmp
375835	3000	928	1	 HYENA.bmp
382840	3000	907	1	 LADDER.bmp
389845	2000	667	1	 GLASS.bmp
395832	2000	905	1	 LION.bmp
401837	2000	745	1	 SKULL.bmp
407841	2000	697	1	 Scale.bmp
413845	3000	785	1	 SHIRT.bmp
420833	3000	781	1	 RABBIT.bmp
427838	3000	2226	1	 LADYBUG.bmp
434843	3000	884	1	 STOOL.bmp
441832	3000	856	1	 WHIP.bmp
448837	3000	2030	1	 TRUMPET.bmp
455841	2000	730	1	 LOCK.bmp
461846	2000	1131	1	 WOLF.bmp
467833	2000	963	1	 SQUIRREL.bmp
473837	2000	948	1	 PLUG.bmp
479842	3000	947	1	 WATERING.bmp
486847	3000	1013	1	 SNAKE.bmp
493835	2000	947	1	 RULER.bmp
499839	2000	698	1	 NECKLACE.bmp
505843	2000	1658	1	 NAILFILE.bmp
511832	2000	831	1	 LEG.bmp
