onset	duration	response_time	answer	type
34791	4000	707	1	 SKULL.bmp
42797	3000	784	1	 WHEEL.bmp
49802	3000	1008	1	 SNAIL.bmp
56790	3000	1040	1	 SHOE.bmp
63795	3000	950	1	 PEAR.bmp
70800	3000	914	1	 VASE.bmp
77788	3000	962	1	 WELL.bmp
84793	3000	1186	1	 PICTURE.bmp
91798	4000	916	1	 PEACOCK.bmp
99787	3000	1050	1	 ZEBRA.bmp
106792	4000	1031	1	 CIGARETT.bmp
114797	3000	957	1	 RULER.bmp
121787	3000	1049	1	 LOCK.bmp
128791	3000	941	1	 PALMTREE.bmp
135795	4000	1147	1	 SKIRT.bmp
143801	3000	1060	1	 PIANO.bmp
150789	3000	1017	1	 LION.bmp
157794	4000	1135	1	 HARP.bmp
165800	3000	1135	1	 RING.bmp
172788	3000	1221	1	 TIE.bmp
179793	3000	1082	1	 POT.bmp
186798	4000	1409	0	 NAIL.bmp
194787	3000	1154	1	 WINDOW.bmp
201792	4000	1295	1	 SPIDER.bmp
209798	4000	950	1	 MOTORCYC.bmp
217787	4000	907	1	 SNAKE.bmp
225792	4000	1170	1	 NECKLACE.bmp
233798	4000	1017	1	 TRACTOR.bmp
241787	4000	842	1	 GLASS.bmp
249793	3000	934	1	 NOSE.bmp
256797	3000	956	1	 LADDER.bmp
263787	4000	835	1	 HAMMER.bmp
271791	4000	936	1	 ROCKET.bmp
279797	3000	729	1	 SOCK.bmp
286802	3000	1220	1	 RAT.bmp
293790	4000	1018	1	 SQUIRREL.bmp
301796	4000	2506	1	 TIGER.bmp
309802	4000	1096	1	 MONKEY.bmp
317790	3000	1786	1	 PLUG.bmp
324795	4000	1158	1	 PANTS.bmp
332801	4000	1156	1	 WATERING.bmp
340790	4000	1454	1	 LADYBUG.bmp
348796	3000	1391	1	 SHIRT.bmp
355801	3000	rien	0	 MICROSCO.bmp
362789	3000	1347	0	 LEG.bmp
369794	4000	1096	1	 ski.bmp
377799	3000	858	1	 WOLF.bmp
384788	4000	896	1	 HAT.bmp
392793	4000	1095	1	 LAMP.bmp
400799	4000	1096	1	 LIGHTBUL.bmp
408788	4000	1324	1	 WEATHERV.bmp
416794	4000	1081	1	 UMBRELLA.bmp
424799	3000	1166	1	 SCREW.bmp
431788	3000	1086	1	 NAILFILE.bmp
438792	4000	1263	1	 SAW.bmp
446798	4000	1793	1	 WHIP.bmp
454787	4000	1427	1	 Scale.bmp
462793	3000	801	1	 MOON.bmp
469798	4000	1686	1	 OSTRICH.bmp
477787	3000	1780	1	 PLIERS.bmp
484791	3000	1085	1	 STOOL.bmp
491796	4000	1211	1	 HARMONIC.bmp
499787	3000	1642	1	 HYENA.bmp
506790	3000	1290	1	 MOUNTAIN.bmp
513795	4000	1189	1	 PIPE.bmp
521801	3000	1607	1	 PELICAN.bmp
528789	3000	833	1	 SYRINGE.bmp
535794	4000	1084	1	 ROOSTER.bmp
543800	3000	761	1	 KNIFE.bmp
550788	4000	868	1	 SWAN.bmp
558794	4000	842	1	 RABBIT.bmp
566799	3000	847	1	 PAINTBRU.bmp
573788	4000	1009	1	 TELEPHON.bmp
581793	3000	1218	1	 TRUMPET.bmp
