onset	duration	response_time	answer	type
38943	2000	862	1	 SAW.bmp
44931	3000	701	1	 NAIL.bmp
51936	2000	824	1	 LADDER.bmp
57940	2000	1179	1	 PICTURE.bmp
63944	3000	900	1	 VASE.bmp
70932	3000	768	1	 MOTORCYC.bmp
77937	3000	881	1	 RULER.bmp
84942	3000	999	1	 ski.bmp
91931	3000	975	0	 RAT.bmp
98935	2000	1204	1	 TRACTOR.bmp
104939	2000	924	1	 HARP.bmp
110944	3000	2639	1	 WELL.bmp
117932	3000	1095	1	 UMBRELLA.bmp
124937	3000	909	1	 ROCKET.bmp
131942	2000	1060	1	 LADYBUG.bmp
137931	3000	1006	1	 LOCK.bmp
144934	3000	910	1	 PAINTBRU.bmp
151939	2000	962	1	 PEAR.bmp
157944	2000	940	1	 PIANO.bmp
163931	3000	1090	0	 NAILFILE.bmp
170936	2000	1723	1	 PELICAN.bmp
176940	2000	735	1	 TIGER.bmp
182944	3000	770	1	 SCREW.bmp
189933	3000	979	1	 SKIRT.bmp
196938	2000	784	1	 GLASS.bmp
202942	2000	804	1	 PIPE.bmp
208931	2000	928	1	 WOLF.bmp
214934	3000	1113	1	 TIE.bmp
221939	2000	740	1	 MOUNTAIN.bmp
227943	2000	1565	1	 HARMONIC.bmp
233931	3000	1075	1	 KNIFE.bmp
240935	3000	1196	1	 OSTRICH.bmp
247940	2000	1479	0	 SKULL.bmp
253944	3000	1235	1	 PALMTREE.bmp
260933	3000	1418	1	 SWAN.bmp
267938	3000	844	1	 MONKEY.bmp
274942	3000	942	1	 SNAKE.bmp
281931	2000	932	1	 WHEEL.bmp
287935	2000	782	1	 HAMMER.bmp
293939	3000	827	1	 ZEBRA.bmp
300944	2000	1089	1	 HYENA.bmp
306932	3000	704	1	 RABBIT.bmp
313937	2000	877	1	 WHIP.bmp
319941	3000	818	1	 SQUIRREL.bmp
326946	3000	867	1	 WINDOW.bmp
333934	2000	1056	1	 CIGARETT.bmp
339938	3000	1034	1	 LION.bmp
346943	2000	1178	1	 PLIERS.bmp
352931	2000	879	1	 WATERING.bmp
358935	3000	802	1	 TRUMPET.bmp
365940	3000	1006	1	 RING.bmp
372945	2000	1268	1	 SHIRT.bmp
378932	3000	859	1	 ROOSTER.bmp
385937	2000	805	1	 SYRINGE.bmp
391942	2000	1701	1	 PEACOCK.bmp
397946	2000	911	1	 MOON.bmp
403933	2000	893	1	 PLUG.bmp
409937	3000	1012	1	 TELEPHON.bmp
416942	2000	930	1	 NOSE.bmp
422931	3000	789	1	 HAT.bmp
429935	2000	1747	1	 MICROSCO.bmp
435939	2000	753	1	 LAMP.bmp
441943	2000	951	1	 LEG.bmp
447931	2000	2123	1	 WEATHERV.bmp
453935	2000	961	1	 Scale.bmp
459939	3000	784	1	 SNAIL.bmp
466944	3000	791	1	 STOOL.bmp
473933	3000	723	1	 PANTS.bmp
480937	2000	843	1	 NECKLACE.bmp
486942	2000	750	1	 SHOE.bmp
492931	2000	975	1	 SPIDER.bmp
498934	2000	841	1	 LIGHTBUL.bmp
504938	3000	793	1	 SOCK.bmp
511943	3000	1012	1	 POT.bmp
