onset	duration	response_time	answer	type
41063	2000	1033	1	 DOGHOUSE.bmp
47067	3000	798	1	 CAP.bmp
54056	2000	1015	1	 CRAB.bmp
60060	2000	1273	0	 DUSTPAN.bmp
66064	3000	952	1	 ARTICHOK.bmp
73069	2000	1576	1	 CHIMNEY.bmp
79056	2000	953	1	 GLOVE.bmp
85060	2000	950	1	 BOX.bmp
91064	3000	935	1	 ACORN.bmp
98054	3000	1419	1	 BOTTLE.bmp
105057	2000	897	1	 CLOUD.bmp
111062	2000	888	1	 CANNON.bmp
117066	3000	787	1	 ANCHOR.bmp
124054	2000	785	1	 FORK.bmp
130058	2000	730	1	 BEAR.bmp
136062	3000	1239	1	 FAUCET.bmp
143067	2000	1063	1	 BOWL.bmp
149054	3000	1148	1	 EAGLE.bmp
156059	2000	767	1	 frenchcr.bmp
162063	3000	731	1	 ALLIGATO.bmp
169068	2000	907	1	 ELEPHANT.bmp
175056	2000	725	1	 EAR.bmp
181060	2000	1187	1	 BUTTERFL.bmp
187064	2000	939	1	 CLOWN.bmp
193068	3000	973	1	 BROOM.bmp
200056	3000	767	1	 BRAIN.bmp
207061	2000	758	1	 APPLE.bmp
213065	2000	1264	1	 SCORPION.bmp
219054	3000	979	1	 FLOWER.bmp
226057	3000	1117	1	 FAN.bmp
233062	2000	877	1	 AXE.bmp
239066	3000	1079	1	 DOORKNOB.bmp
246055	2000	1045	1	 DRESSER.bmp
252059	3000	1236	1	 CORN.bmp
259063	2000	833	1	 CROWN.bmp
265068	3000	1098	1	 EYE.bmp
272056	3000	758	1	 CARROT.bmp
279061	3000	977	1	 BICYCLE.bmp
286065	3000	991	1	 DRAGONFL.bmp
293054	3000	1106	1	 HAMMOCK.bmp
300058	2000	1195	1	 COMPASS.bmp
306063	2000	1119	1	 COW.bmp
312067	2000	1006	0	 BOW.bmp
318054	3000	1099	1	 ASHTRAY.bmp
325059	3000	1349	1	 BIRDNEST.bmp
332064	3000	950	1	 FEATHER.bmp
339069	3000	1124	1	 ASPARAGU.bmp
346057	2000	890	1	 CAT.bmp
352061	3000	1724	1	 BIRDCAGE.bmp
359066	3000	1237	1	 DOLPHIN.bmp
366054	3000	1252	1	 GORILLA.bmp
373059	2000	923	1	 CUP.bmp
379063	3000	854	1	 FUNNEL.bmp
386068	3000	940	0	 COAT.bmp
393056	2000	984	1	 FISH.bmp
399060	2000	717	1	 GARBAGEC.bmp
405064	3000	821	1	 RAY.bmp
412069	2000	871	1	 FRYINGPA.bmp
418056	2000	952	1	 CAR.bmp
424060	3000	1039	0	 BEE.bmp
431065	3000	977	1	 GUITAR.bmp
438054	3000	1172	1	 DEER.bmp
445058	2000	981	1	 BELT.bmp
451062	3000	1140	0	 CHEESE.bmp
458067	2000	957	1	 ACCORDIO.bmp
464055	3000	1287	1	 BENCH.bmp
471059	2000	1261	1	 AIRPLANE.bmp
477064	2000	1049	1	 DONKEY.bmp
483068	3000	845	1	 BOOT.bmp
490056	3000	951	1	 DRESS.bmp
497061	2000	854	1	 ENVELOPE.bmp
503065	3000	1699	1	 FLAG.bmp
510054	3000	974	1	 CHICKEN.bmp
517058	2000	1375	1	 CATERPIL.bmp
