onset	duration	response_time	answer	type
29566	4000	1687	1	 Scale.bmp
37572	4000	1241	1	 LOCK.bmp
45560	3000	1182	1	 PICTURE.bmp
52565	4000	1923	0	 LADYBUG.bmp
60571	4000	1565	1	 PELICAN.bmp
68560	4000	1497	1	 HARP.bmp
76565	4000	1343	1	 TELEPHON.bmp
84571	3000	1794	1	 OSTRICH.bmp
91559	3000	2408	1	 POT.bmp
98564	3000	1607	1	 HAT.bmp
105569	3000	1078	1	 TIGER.bmp
112558	4000	1150	1	 MOTORCYC.bmp
120563	4000	980	1	 MOON.bmp
128568	3000	1655	1	 SPIDER.bmp
135558	4000	2278	1	 KNIFE.bmp
143562	3000	1989	1	 SYRINGE.bmp
150567	4000	1338	1	 LEG.bmp
158572	3000	904	1	 MONKEY.bmp
165561	4000	1852	1	 PLIERS.bmp
173566	3000	1377	1	 WOLF.bmp
180571	3000	1197	1	 SHIRT.bmp
187559	3000	1132	1	 RAT.bmp
194564	3000	1128	1	 PEACOCK.bmp
201569	3000	1113	1	 PALMTREE.bmp
208558	3000	893	1	 SKIRT.bmp
215562	3000	1903	1	 WELL.bmp
222567	4000	1844	1	 NAILFILE.bmp
230572	4000	2255	1	 LADDER.bmp
238561	4000	1613	1	 TRACTOR.bmp
246567	3000	985	1	 NOSE.bmp
253572	4000	1267	1	 SNAIL.bmp
261561	3000	1240	1	 SQUIRREL.bmp
268565	3000	966	1	 PIPE.bmp
275570	3000	1426	1	 HAMMER.bmp
282559	3000	983	1	 LION.bmp
289563	4000	1140	1	 WHIP.bmp
297569	3000	1711	1	 SNAKE.bmp
304558	3000	1218	1	 VASE.bmp
311562	4000	903	1	 ROCKET.bmp
319568	3000	1213	1	 RING.bmp
326573	4000	1586	1	 LIGHTBUL.bmp
334561	3000	880	1	 SKULL.bmp
341566	3000	953	1	 RULER.bmp
348571	3000	1413	0	 HYENA.bmp
355559	4000	2171	1	 PIANO.bmp
363565	3000	1158	1	 SOCK.bmp
370570	3000	1087	1	 ROOSTER.bmp
377558	4000	1685	1	 MOUNTAIN.bmp
385563	4000	1175	1	 CIGARETT.bmp
393569	4000	2027	1	 SHOE.bmp
401558	4000	2123	1	 LAMP.bmp
409564	3000	1061	1	 SAW.bmp
416568	3000	991	1	 RABBIT.bmp
423558	4000	1537	1	 ZEBRA.bmp
431562	3000	1630	1	 SCREW.bmp
438567	4000	1774	1	 WATERING.bmp
446573	3000	1410	1	 PAINTBRU.bmp
453561	3000	1202	1	 WINDOW.bmp
460566	3000	2053	0	 HARMONIC.bmp
467570	4000	1609	1	 PANTS.bmp
475559	4000	1642	1	 NECKLACE.bmp
483565	4000	1509	1	 GLASS.bmp
491570	4000	2244	0	 SWAN.bmp
499559	3000	1568	1	 ski.bmp
506564	3000	1380	0	 TRUMPET.bmp
513569	4000	rien	0	 WEATHERV.bmp
521558	3000	1730	1	 MICROSCO.bmp
528563	4000	1978	1	 UMBRELLA.bmp
536568	4000	640	1	 WHEEL.bmp
544558	4000	1571	1	 PEAR.bmp
552563	3000	2342	1	 NAIL.bmp
559568	4000	1565	1	 TIE.bmp
567558	4000	1596	1	 STOOL.bmp
575562	4000	1256	1	 PLUG.bmp
