onset	duration	response_time	answer	type
46542	4000	rien	0	 BEE.bmp
54547	3000	1302	1	 FEATHER.bmp
61552	4000	944	0	 CRAB.bmp
69542	3000	892	1	 GUITAR.bmp
76546	4000	2032	1	 CORN.bmp
84551	4000	2927	0	 GORILLA.bmp
92557	3000	1230	1	 GARBAGEC.bmp
99545	4000	2736	1	 ALLIGATO.bmp
107551	3000	1546	1	 CUP.bmp
114555	4000	2231	1	 COMPASS.bmp
122544	3000	1818	1	 BUTTERFL.bmp
129549	4000	1739	1	 CLOWN.bmp
137555	3000	3636	1	 FRYINGPA.bmp
144543	4000	1588	1	 BENCH.bmp
152548	4000	1628	1	 DRESS.bmp
160554	3000	1249	1	 BOWL.bmp
167542	3000	1895	1	 SCORPION.bmp
174547	3000	1428	1	 CLOUD.bmp
181552	3000	3115	0	 DRAGONFL.bmp
188557	4000	3089	0	 ARTICHOK.bmp
196546	4000	1599	1	 FUNNEL.bmp
204551	3000	1415	1	 BOOT.bmp
211556	4000	1129	1	 BIRDCAGE.bmp
219545	3000	2308	0	 CAP.bmp
226550	3000	1586	1	 BROOM.bmp
233555	4000	1742	1	 frenchcr.bmp
241544	4000	1489	1	 ACCORDIO.bmp
249549	4000	1733	1	 BELT.bmp
257555	3000	rien	0	 ASPARAGU.bmp
264543	4000	1847	1	 DRESSER.bmp
272549	3000	1633	1	 RAY.bmp
279553	4000	1209	1	 DOLPHIN.bmp
287542	3000	1203	1	 AIRPLANE.bmp
294547	4000	1323	1	 CHEESE.bmp
302553	3000	1551	0	 CHIMNEY.bmp
309542	3000	1651	1	 AXE.bmp
316546	4000	1147	1	 BEAR.bmp
324551	4000	2106	1	 CHICKEN.bmp
332557	4000	1241	1	 FLAG.bmp
340546	3000	2117	1	 EYE.bmp
347551	4000	rien	0	 CATERPIL.bmp
355556	4000	1432	1	 CROWN.bmp
363545	4000	1806	1	 DOORKNOB.bmp
371551	4000	1156	1	 COW.bmp
379556	3000	1467	1	 GLOVE.bmp
386544	3000	1561	1	 ANCHOR.bmp
393549	3000	1571	1	 FISH.bmp
400554	4000	1362	1	 BICYCLE.bmp
408543	4000	1816	1	 BIRDNEST.bmp
416549	4000	2050	1	 HAMMOCK.bmp
424554	3000	1688	1	 EAR.bmp
431542	3000	1383	1	 BOX.bmp
438547	3000	1188	1	 FAUCET.bmp
445552	3000	1995	1	 DOGHOUSE.bmp
452557	3000	2082	1	 FAN.bmp
459545	3000	2025	0	 DUSTPAN.bmp
466550	3000	1766	1	 CAR.bmp
473555	4000	1283	1	 BRAIN.bmp
481544	4000	985	1	 CANNON.bmp
489549	3000	1052	1	 CAT.bmp
496554	4000	1338	1	 BOTTLE.bmp
504543	3000	rien	0	 ASHTRAY.bmp
511548	4000	1441	1	 COAT.bmp
519554	4000	1392	1	 BOW.bmp
527542	4000	1760	1	 ACORN.bmp
535548	4000	1217	1	 ELEPHANT.bmp
543554	4000	1391	1	 DONKEY.bmp
551543	3000	1300	1	 EAGLE.bmp
558547	3000	1282	1	 ENVELOPE.bmp
565552	3000	954	1	 CARROT.bmp
572542	4000	910	1	 APPLE.bmp
580546	4000	1823	1	 FLOWER.bmp
588551	3000	1357	1	 FORK.bmp
595556	3000	1962	1	 DEER.bmp
