onset	duration	response_time	answer	type
41331	3000	1041	1	 ANCHOR.bmp
48336	3000	1120	1	 FLOWER.bmp
55341	3000	1592	1	 BUTTERFL.bmp
62329	4000	903	1	 EAR.bmp
70335	4000	1178	1	 CLOWN.bmp
78340	4000	1345	1	 FAN.bmp
86329	4000	1209	1	 FISH.bmp
94335	3000	845	1	 DRESS.bmp
101340	3000	1749	1	 SCORPION.bmp
108329	3000	1173	1	 CORN.bmp
115333	3000	1379	1	 HAMMOCK.bmp
122338	3000	1518	1	 DOORKNOB.bmp
129343	4000	1191	1	 BOWL.bmp
137332	4000	844	1	 CANNON.bmp
145338	3000	1218	1	 AIRPLANE.bmp
152343	3000	1433	1	 DONKEY.bmp
159331	4000	2130	0	 DEER.bmp
167337	4000	1039	1	 FAUCET.bmp
175342	4000	1773	0	 DOGHOUSE.bmp
183331	4000	1678	1	 COMPASS.bmp
191337	3000	831	1	 CAT.bmp
198342	4000	1322	1	 CATERPIL.bmp
206331	3000	1252	1	 CHEESE.bmp
213336	3000	2351	0	 BEE.bmp
220341	3000	1338	1	 ACORN.bmp
227329	4000	1493	1	 EAGLE.bmp
235335	3000	1734	1	 CROWN.bmp
242340	3000	1206	1	 CHIMNEY.bmp
249329	4000	2578	0	 ARTICHOK.bmp
257334	4000	1103	1	 BRAIN.bmp
265339	4000	1124	0	 COAT.bmp
273329	3000	1190	1	 frenchcr.bmp
280333	3000	1039	1	 ELEPHANT.bmp
287338	3000	843	1	 BOOT.bmp
294343	3000	1361	1	 BOW.bmp
301331	3000	1409	1	 EYE.bmp
308337	3000	1767	0	 DRESSER.bmp
315342	4000	1175	1	 BICYCLE.bmp
323330	3000	1140	1	 CAP.bmp
330335	4000	1263	1	 ASPARAGU.bmp
338341	4000	1187	1	 ACCORDIO.bmp
346330	4000	1053	1	 ENVELOPE.bmp
354336	4000	993	1	 BELT.bmp
362341	4000	1479	1	 FEATHER.bmp
370330	3000	934	1	 GARBAGEC.bmp
377335	3000	1270	1	 BENCH.bmp
384340	3000	725	1	 BEAR.bmp
391329	4000	1918	0	 DUSTPAN.bmp
399334	4000	1197	1	 BIRDNEST.bmp
407340	4000	1406	1	 CAR.bmp
415329	3000	1115	0	 ALLIGATO.bmp
422334	4000	1404	1	 GLOVE.bmp
430340	4000	1316	1	 BIRDCAGE.bmp
438329	4000	1313	1	 FRYINGPA.bmp
446334	3000	1162	1	 GUITAR.bmp
453339	3000	1323	1	 DOLPHIN.bmp
460329	3000	1264	1	 FLAG.bmp
467332	3000	1611	1	 RAY.bmp
474337	4000	1052	1	 CARROT.bmp
482343	4000	1091	1	 CHICKEN.bmp
490332	3000	1498	0	 FUNNEL.bmp
497337	4000	1243	1	 BOX.bmp
505343	4000	724	1	 CRAB.bmp
513331	3000	1221	1	 COW.bmp
520336	4000	1580	1	 GORILLA.bmp
528342	4000	1227	1	 CUP.bmp
536331	3000	939	1	 BOTTLE.bmp
543336	3000	1541	0	 DRAGONFL.bmp
550341	3000	1747	0	 CLOUD.bmp
557329	4000	1138	1	 BROOM.bmp
565335	4000	919	1	 ASHTRAY.bmp
573341	4000	1721	1	 AXE.bmp
581330	4000	1185	1	 APPLE.bmp
589335	4000	889	1	 FORK.bmp
