onset	duration	response_time	answer	type
36852	2000	960	1	 MOTORCYC.bmp
42857	2000	736	1	 HAMMER.bmp
48861	3000	802	1	 SNAIL.bmp
55849	2000	865	1	 WOLF.bmp
61853	2000	874	0	 SCREW.bmp
67858	2000	852	1	 RING.bmp
73862	3000	943	1	 WATERING.bmp
80850	2000	724	1	 MOUNTAIN.bmp
86854	3000	770	1	 RABBIT.bmp
93859	2000	913	1	 MICROSCO.bmp
99863	2000	996	1	 NAIL.bmp
105851	2000	953	1	 PELICAN.bmp
111855	2000	900	1	 PIPE.bmp
117859	3000	816	1	 WHEEL.bmp
124849	2000	807	1	 LADDER.bmp
130852	2000	775	1	 LAMP.bmp
136856	3000	808	1	 ROCKET.bmp
143861	2000	983	0	 NAILFILE.bmp
149849	2000	749	1	 MOON.bmp
155853	2000	966	1	 SPIDER.bmp
161857	2000	808	1	 CIGARETT.bmp
167861	2000	716	1	 TELEPHON.bmp
173849	3000	903	1	 TRACTOR.bmp
180854	3000	1000	0	 TIGER.bmp
187859	2000	1200	1	 LIGHTBUL.bmp
193863	2000	851	1	 HAT.bmp
199850	3000	2131	1	 ROOSTER.bmp
206855	3000	810	1	 LOCK.bmp
213860	3000	1188	1	 WELL.bmp
220849	3000	739	1	 SHOE.bmp
227853	3000	912	1	 STOOL.bmp
234858	3000	1564	1	 ZEBRA.bmp
241863	2000	1159	1	 LEG.bmp
247851	2000	884	1	 SKULL.bmp
253855	3000	896	1	 LADYBUG.bmp
260860	3000	898	1	 SNAKE.bmp
267849	2000	708	1	 PANTS.bmp
273852	2000	1108	1	 SKIRT.bmp
279857	2000	916	1	 WINDOW.bmp
285861	2000	776	1	 PEAR.bmp
291849	2000	741	1	 TRUMPET.bmp
297853	3000	778	1	 PALMTREE.bmp
304857	3000	893	1	 PEACOCK.bmp
311862	3000	1729	0	 POT.bmp
318851	2000	830	1	 NECKLACE.bmp
324855	2000	830	1	 SAW.bmp
330859	2000	1345	1	 OSTRICH.bmp
336863	2000	949	1	 PICTURE.bmp
342851	3000	899	1	 PLUG.bmp
349856	3000	943	1	 PLIERS.bmp
356861	3000	784	1	 SHIRT.bmp
363849	3000	1016	1	 SWAN.bmp
370854	3000	rien	0	 WEATHERV.bmp
377859	3000	895	1	 SQUIRREL.bmp
384864	3000	1021	1	 SYRINGE.bmp
391852	3000	863	1	 NOSE.bmp
398857	3000	743	1	 SOCK.bmp
405862	3000	744	1	 UMBRELLA.bmp
412850	3000	rien	0	 HARMONIC.bmp
419855	2000	rien	0	 WHIP.bmp
425859	2000	671	1	 TIE.bmp
431863	3000	1800	0	 HYENA.bmp
438852	2000	726	1	 PIANO.bmp
444856	2000	779	1	 Scale.bmp
450860	2000	792	1	 MONKEY.bmp
456849	2000	946	1	 HARP.bmp
462852	3000	776	1	 KNIFE.bmp
469857	3000	657	1	 PAINTBRU.bmp
476862	2000	874	1	 GLASS.bmp
482849	3000	1157	1	 ski.bmp
489854	3000	916	1	 RULER.bmp
496859	3000	813	1	 VASE.bmp
503849	2000	982	1	 LION.bmp
509852	3000	1437	1	 RAT.bmp
