onset	duration	response_time	answer	type
92367	2000	1144	1	 DONKEY.bmp
98372	3000	784	1	 CHEESE.bmp
105360	2000	1082	0	 RAY.bmp
111364	2000	1538	1	 FLAG.bmp
117368	3000	1051	1	 DOGHOUSE.bmp
124373	2000	954	1	 BOTTLE.bmp
130361	3000	3061	1	 SCORPION.bmp
137366	3000	975	1	 BEAR.bmp
144371	2000	960	1	 BUTTERFL.bmp
150359	2000	1089	1	 CLOWN.bmp
156362	3000	828	1	 GUITAR.bmp
163367	3000	983	1	 EYE.bmp
170372	2000	1098	1	 COW.bmp
176360	2000	1106	1	 CUP.bmp
182364	2000	792	1	 FORK.bmp
188368	2000	828	1	 BENCH.bmp
194372	2000	796	1	 CHIMNEY.bmp
200360	3000	1050	1	 ASHTRAY.bmp
207365	2000	841	1	 frenchcr.bmp
213369	3000	1214	1	 COAT.bmp
220359	3000	987	1	 ELEPHANT.bmp
227362	2000	937	1	 GARBAGEC.bmp
233367	3000	1116	0	 DRAGONFL.bmp
240372	3000	848	1	 DRESS.bmp
247360	2000	883	1	 ENVELOPE.bmp
253364	3000	896	1	 BELT.bmp
260369	2000	1344	1	 ARTICHOK.bmp
266373	3000	928	1	 BOOT.bmp
273361	2000	1529	1	 ACORN.bmp
279366	3000	1984	0	 GORILLA.bmp
286371	3000	884	1	 BOW.bmp
293359	2000	704	1	 FISH.bmp
299363	2000	946	1	 CORN.bmp
305367	3000	1178	0	 CAP.bmp
312372	2000	666	1	 APPLE.bmp
318360	2000	695	1	 EAR.bmp
324364	3000	2618	0	 CLOUD.bmp
331369	2000	810	1	 GLOVE.bmp
337373	2000	711	1	 BROOM.bmp
343361	2000	690	1	 CARROT.bmp
349365	3000	1145	1	 FAN.bmp
356370	2000	1324	1	 DRESSER.bmp
362359	2000	969	1	 CROWN.bmp
368362	2000	902	1	 FAUCET.bmp
374366	2000	895	0	 HAMMOCK.bmp
380370	3000	4025	0	 CANNON.bmp
387359	2000	968	1	 FRYINGPA.bmp
393362	3000	694	1	 FLOWER.bmp
400367	3000	869	1	 DOLPHIN.bmp
407372	3000	1266	0	 COMPASS.bmp
414361	3000	833	1	 FEATHER.bmp
421366	3000	2103	1	 BOX.bmp
428370	2000	rien	0	 ALLIGATO.bmp
434359	3000	848	1	 BOWL.bmp
441363	2000	535	1	 CAT.bmp
447367	2000	961	0	 ANCHOR.bmp
453371	3000	1075	1	 CRAB.bmp
460360	3000	926	1	 AIRPLANE.bmp
467365	3000	1951	1	 ASPARAGU.bmp
474370	3000	1042	1	 BIRDCAGE.bmp
481359	2000	1709	1	 DOORKNOB.bmp
487362	3000	1476	1	 DEER.bmp
494367	2000	953	1	 BRAIN.bmp
500371	3000	805	1	 BICYCLE.bmp
507359	2000	1485	1	 FUNNEL.bmp
513364	3000	1137	0	 AXE.bmp
520368	3000	1206	1	 BIRDNEST.bmp
527373	3000	1167	1	 EAGLE.bmp
534362	3000	858	1	 CHICKEN.bmp
541367	3000	1113	1	 BEE.bmp
548372	2000	1063	1	 DUSTPAN.bmp
554359	3000	755	1	 CAR.bmp
561364	2000	1045	1	 ACCORDIO.bmp
567368	3000	901	1	 CATERPIL.bmp
