onset	duration	response_time	answer	type	
37255	3000	996	1	 MOON.bmp	
44260	3000	856	1	 TIE.bmp	
51250	3000	1311	1	 LION.bmp	
58253	3000	1171	1	 PALMTREE.bmp	
65258	2000	1037	1	 ROCKET.bmp	
71262	3000	1213	0	 TRUMPET.bmp	
78251	3000	1042	1	 SKULL.bmp	
85256	2000	979	1	 NECKLACE.bmp	
91260	2000	960	1	 CIGARETT.bmp	
97264	2000	909	1	 PEAR.bmp	
103252	2000	1613	1	 Scale.bmp	
109256	3000	1579	0	 WOLF.bmp	
116261	2000	919	1	 TRACTOR.bmp	
122250	2000	905	1	 MOTORCYC.bmp	
128253	2000	1163	1	 ski.bmp	
134257	3000	1184	1	 SAW.bmp	
141262	3000	1182	1	 SYRINGE.bmp	
148250	2000	1331	0	 ROOSTER.bmp	
154254	2000	921	1	 GLASS.bmp	
160259	3000	976	1	 UMBRELLA.bmp	
167264	3000	1046	1	 SCREW.bmp	
174252	3000	1287	1	 LIGHTBUL.bmp	
181257	3000	998	1	 SQUIRREL.bmp	
188262	2000	871	1	 WHEEL.bmp	
194250	3000	935	1	 RING.bmp	
201254	3000	980	1	 SNAIL.bmp	
208259	3000	993	1	 ZEBRA.bmp	
215264	2000	916	1	 STOOL.bmp	
221252	3000	1197	1	 WATERING.bmp	
228257	3000	1169	1	 SOCK.bmp	
235262	3000	1136	1	 SKIRT.bmp	
242250	3000	1679	0	 NAIL.bmp	
249255	2000	1387	1	 PAINTBRU.bmp	
255259	3000	1698	1	 NAILFILE.bmp	
262264	2000	1080	1	 SWAN.bmp	
268252	2000	926	1	 TELEPHON.bmp	
274256	2000	993	1	 WELL.bmp	
280260	2000	rien	0	 PELICAN.bmp	
286264	3000	1316	1	 PLUG.bmp	
293253	2000	923	1	 PIPE.bmp	
299257	2000	rien	0	 HARMONIC.bmp	
305261	3000	884	1	 HAT.bmp	
312250	3000	778	1	 NOSE.bmp	
319254	2000	1507	1	 TIGER.bmp	
325258	3000	1481	0	 HYENA.bmp	
332263	3000	2202	0	 WHIP.bmp	
339252	2000	972	1	 HARP.bmp	
345256	3000	1148	1	 MOUNTAIN.bmp	
352261	2000	1152	1	 WINDOW.bmp	
358250	2000	1561	0	 RAT.bmp	
364253	3000	1049	1	 LAMP.bmp	
371258	3000	1163	1	 PICTURE.bmp	
378263	2000	1140	1	 PANTS.bmp	
384250	3000	rien	0	 WEATHERV.bmp	
391255	3000	1102	1	 SPIDER.bmp	
398260	2000	967	1	 POT.bmp	
404264	2000	924	1	 LADDER.bmp	
410252	3000	1451	1	 OSTRICH.bmp	
417257	2000	1072	1	 PEACOCK.bmp	
423261	2000	995	1	 SHOE.bmp	
429250	3000	1387	1	 SNAKE.bmp	
436254	3000	1111	1	 MICROSCO.bmp	
443258	2000	1026	1	 MONKEY.bmp	
449263	3000	855	1	 LADYBUG.bmp	
456251	2000	865	1	 VASE.bmp	
462255	2000	1089	1	 LEG.bmp	
468260	2000	1852	0	 PLIERS.bmp	
474264	2000	967	1	 KNIFE.bmp	
480251	2000	864	1	 RABBIT.bmp	
486256	2000	825	1	 RULER.bmp	
492260	2000	1519	1	 HAMMER.bmp	
498264	3000	1123	1	 LOCK.bmp	
505252	2000	1149	0	 PIANO.bmp	
511256	2000	1017	0	 SHIRT.bmp	
