onset	duration	response_time	answer	type
47049	2000	857	1	 AXE.bmp
53052	2000	1875	0	 SCORPION.bmp
59056	2000	2175	1	 RAY.bmp
65060	2000	873	1	 CROWN.bmp
71049	3000	1120	1	 BOW.bmp
78053	3000	1638	1	 FAN.bmp
85058	2000	1122	1	 BOWL.bmp
91062	2000	1294	1	 BIRDNEST.bmp
97050	3000	1371	1	 ENVELOPE.bmp
104055	2000	1099	1	 FUNNEL.bmp
110059	2000	1463	1	 CHICKEN.bmp
116063	2000	1207	1	 EAGLE.bmp
122051	3000	766	1	 DOLPHIN.bmp
129056	2000	882	1	 FLOWER.bmp
135060	3000	696	1	 CARROT.bmp
142049	2000	1873	1	 DOGHOUSE.bmp
148053	2000	833	1	 CLOUD.bmp
154057	2000	1294	1	 AIRPLANE.bmp
160061	3000	1206	1	 CRAB.bmp
167049	2000	1443	1	 frenchcr.bmp
173054	3000	2024	0	 DUSTPAN.bmp
180059	2000	1841	1	 CHIMNEY.bmp
186063	3000	1376	0	 DRESSER.bmp
193051	3000	977	1	 COAT.bmp
200056	3000	902	1	 CAR.bmp
207061	2000	1573	1	 BOX.bmp
213049	2000	1042	1	 GARBAGEC.bmp
219053	3000	1114	1	 ELEPHANT.bmp
226058	2000	2296	1	 ASPARAGU.bmp
232062	3000	894	1	 BELT.bmp
239050	3000	1479	0	 BOOT.bmp
246055	2000	1459	0	 GORILLA.bmp
252060	3000	1092	1	 CUP.bmp
259049	2000	1091	1	 BEAR.bmp
265052	2000	1042	1	 BICYCLE.bmp
271056	3000	1003	1	 FAUCET.bmp
278061	2000	1690	1	 DEER.bmp
284049	3000	985	1	 EYE.bmp
291054	3000	1454	1	 DOORKNOB.bmp
298059	2000	2059	1	 BEE.bmp
304063	2000	789	1	 FORK.bmp
310051	3000	1176	1	 BENCH.bmp
317056	3000	1310	1	 ANCHOR.bmp
324060	2000	884	1	 CAT.bmp
330049	3000	1085	1	 GLOVE.bmp
337053	3000	683	1	 GUITAR.bmp
344058	3000	911	1	 CANNON.bmp
351063	3000	867	1	 BUTTERFL.bmp
358051	3000	580	1	 ALLIGATO.bmp
365056	3000	2697	0	 ACORN.bmp
372061	2000	1016	1	 CATERPIL.bmp
378049	3000	1236	1	 BIRDCAGE.bmp
385054	3000	1116	1	 COMPASS.bmp
392059	2000	1051	1	 COW.bmp
398063	3000	912	1	 BROOM.bmp
405051	3000	1816	0	 ARTICHOK.bmp
412056	2000	1017	1	 CORN.bmp
418060	3000	910	1	 FLAG.bmp
425049	3000	1395	1	 DONKEY.bmp
432053	3000	1810	1	 HAMMOCK.bmp
439058	3000	1042	1	 APPLE.bmp
446063	3000	1026	1	 EAR.bmp
453052	2000	1154	1	 CHEESE.bmp
459056	2000	1933	1	 FEATHER.bmp
465060	2000	960	1	 BRAIN.bmp
471049	2000	1493	1	 ACCORDIO.bmp
477052	2000	1488	0	 CAP.bmp
483056	3000	1917	1	 DRAGONFL.bmp
490061	2000	1600	1	 FRYINGPA.bmp
496049	3000	1502	1	 CLOWN.bmp
503054	3000	989	1	 BOTTLE.bmp
510059	2000	2995	1	 ASHTRAY.bmp
516063	3000	808	1	 FISH.bmp
523051	2000	1725	1	 DRESS.bmp
