onset	duration	response_time	answer	type
43816	3000	1390	1	 CAP.bmp
50821	3000	1269	1	 BRAIN.bmp
57826	3000	2388	1	 FAN.bmp
64815	4000	1231	1	 FAUCET.bmp
72820	3000	1315	1	 DONKEY.bmp
79825	3000	rien	0	 ASHTRAY.bmp
86830	3000	1455	1	 COW.bmp
93818	3000	1381	0	 GLOVE.bmp
100823	4000	1214	1	 APPLE.bmp
108828	4000	1674	1	 DRAGONFL.bmp
116817	4000	1437	1	 RAY.bmp
124823	3000	1033	1	 CAT.bmp
131828	3000	1188	1	 CORN.bmp
138816	3000	1069	1	 BUTTERFL.bmp
145821	4000	1044	1	 GUITAR.bmp
153827	4000	867	1	 CARROT.bmp
161816	3000	1023	1	 CHIMNEY.bmp
168821	4000	1449	1	 DOGHOUSE.bmp
176826	4000	1120	1	 CLOUD.bmp
184815	4000	1042	1	 BOTTLE.bmp
192821	4000	1488	1	 EYE.bmp
200827	4000	1878	1	 DRESSER.bmp
208816	4000	1251	0	 CHEESE.bmp
216821	4000	1907	1	 CANNON.bmp
224827	3000	1352	1	 BIRDNEST.bmp
231815	4000	2853	1	 BIRDCAGE.bmp
239821	4000	1335	1	 FRYINGPA.bmp
247827	3000	1079	1	 FORK.bmp
254815	4000	1178	0	 BOX.bmp
262820	3000	1220	1	 BEE.bmp
269825	3000	937	1	 BICYCLE.bmp
276815	4000	1026	1	 FISH.bmp
284819	4000	1014	1	 ELEPHANT.bmp
292825	4000	1196	1	 COAT.bmp
300815	3000	1031	1	 DUSTPAN.bmp
307819	4000	1279	1	 FLAG.bmp
315825	3000	3238	0	 DEER.bmp
322829	3000	1274	1	 ENVELOPE.bmp
329818	4000	1425	1	 BROOM.bmp
337823	3000	1530	1	 BOOT.bmp
344828	4000	2170	1	 ANCHOR.bmp
352817	4000	1124	0	 GARBAGEC.bmp
360823	3000	1244	1	 DOLPHIN.bmp
367828	3000	1992	1	 COMPASS.bmp
374816	4000	1146	1	 EAR.bmp
382822	4000	1637	1	 ACCORDIO.bmp
390827	3000	1135	1	 frenchcr.bmp
397816	3000	1705	1	 HAMMOCK.bmp
404821	4000	1383	1	 FUNNEL.bmp
412826	4000	2201	0	 SCORPION.bmp
420815	4000	1223	1	 CHICKEN.bmp
428821	4000	1131	1	 AIRPLANE.bmp
436827	4000	1699	1	 CRAB.bmp
444816	4000	1021	1	 BOWL.bmp
452821	4000	1534	0	 GORILLA.bmp
460827	3000	995	1	 BENCH.bmp
467815	4000	1006	1	 CAR.bmp
475821	3000	1557	1	 EAGLE.bmp
482826	3000	1392	1	 ASPARAGU.bmp
489815	4000	1487	1	 ALLIGATO.bmp
497820	3000	1178	1	 BOW.bmp
504825	4000	1210	1	 CLOWN.bmp
512815	3000	1853	1	 BELT.bmp
519819	3000	2451	1	 AXE.bmp
526824	3000	1181	1	 FEATHER.bmp
533829	3000	1149	1	 CUP.bmp
540817	3000	2528	0	 ARTICHOK.bmp
547822	3000	rien	0	 DOORKNOB.bmp
554827	3000	1083	1	 FLOWER.bmp
561815	3000	1086	1	 DRESS.bmp
568820	4000	1147	1	 BEAR.bmp
576826	4000	1920	0	 ACORN.bmp
584815	4000	1591	1	 CROWN.bmp
592820	3000	1943	0	 CATERPIL.bmp
