onset	duration	response_time	answer	type
40620	3000	rien	0	 ALLIGATO.bmp
47625	3000	1166	1	 DRESS.bmp
54614	3000	1026	1	 AIRPLANE.bmp
61619	4000	1030	1	 DONKEY.bmp
69624	3000	1042	1	 BROOM.bmp
76612	4000	1136	1	 BIRDNEST.bmp
84618	3000	1837	1	 DOORKNOB.bmp
91623	4000	1203	1	 COW.bmp
99612	4000	934	1	 CUP.bmp
107618	3000	1189	1	 BEE.bmp
114623	3000	1176	1	 FRYINGPA.bmp
121612	3000	1158	1	 FAN.bmp
128616	4000	899	1	 BICYCLE.bmp
136621	4000	1548	1	 ASPARAGU.bmp
144612	4000	rien	0	 DRAGONFL.bmp
152616	3000	1025	1	 EAGLE.bmp
159621	3000	826	1	 CAT.bmp
166626	4000	1072	1	 BUTTERFL.bmp
174615	3000	972	1	 GUITAR.bmp
181620	4000	1023	0	 GORILLA.bmp
189625	4000	1445	1	 EYE.bmp
197614	4000	1320	1	 FUNNEL.bmp
205620	3000	828	1	 APPLE.bmp
212625	4000	992	1	 ACORN.bmp
220614	4000	1141	1	 CHICKEN.bmp
228619	4000	1048	1	 ENVELOPE.bmp
236625	4000	816	1	 FISH.bmp
244614	3000	1023	1	 FAUCET.bmp
251619	3000	915	1	 CAR.bmp
258624	3000	1246	1	 ELEPHANT.bmp
265612	3000	1591	1	 CANNON.bmp
272617	4000	1032	1	 FLAG.bmp
280623	3000	925	1	 BOOT.bmp
287612	3000	1093	1	 CHIMNEY.bmp
294616	4000	996	1	 GLOVE.bmp
302621	4000	1926	1	 ARTICHOK.bmp
310612	3000	1423	1	 CRAB.bmp
317615	4000	2605	1	 SCORPION.bmp
325621	3000	1057	1	 GARBAGEC.bmp
332626	4000	1581	1	 DEER.bmp
340615	4000	1140	1	 DOLPHIN.bmp
348620	4000	2227	0	 CAP.bmp
356626	3000	2554	1	 HAMMOCK.bmp
363614	3000	968	1	 BOWL.bmp
370619	4000	1027	1	 BELT.bmp
378625	3000	984	1	 DOGHOUSE.bmp
385613	3000	1048	0	 BIRDCAGE.bmp
392618	4000	1045	1	 BOW.bmp
400624	3000	1003	1	 CARROT.bmp
407612	3000	922	1	 BRAIN.bmp
414617	4000	1489	1	 CLOWN.bmp
422622	3000	1046	1	 BOTTLE.bmp
429612	3000	1454	1	 BEAR.bmp
436616	4000	1242	1	 DRESSER.bmp
444621	3000	rien	0	 CLOUD.bmp
451626	3000	1281	1	 CROWN.bmp
458615	4000	1054	1	 CHEESE.bmp
466620	4000	1636	1	 COMPASS.bmp
474626	3000	1111	1	 EAR.bmp
481614	4000	1063	0	 AXE.bmp
489620	4000	1743	1	 DUSTPAN.bmp
497625	3000	1000	1	 BENCH.bmp
504614	4000	1830	1	 ASHTRAY.bmp
512619	4000	1068	1	 COAT.bmp
520625	3000	1640	0	 CATERPIL.bmp
527613	4000	1928	0	 RAY.bmp
535619	4000	1010	1	 FORK.bmp
543624	4000	1490	0	 BOX.bmp
551613	3000	rien	0	 ACCORDIO.bmp
558618	4000	996	1	 CORN.bmp
566624	4000	994	1	 FLOWER.bmp
574613	3000	1422	0	 ANCHOR.bmp
581618	4000	920	1	 frenchcr.bmp
589623	3000	956	1	 FEATHER.bmp
